#a_0,e_0,emax,emin,tcol
0.103,0.340,0.34094,0.34094,-0.00452
0.236,0.210,1.29856,0.03580,-1.41527
0.101,0.230,0.23086,0.23086,-0.00481
0.800,0.060,0.06174,0.05131,100000.00000
1.028,0.120,0.12156,0.11438,100000.00000
1.144,0.120,0.12149,0.11527,100000.00000
1.093,0.140,0.14153,0.13487,100000.00000
0.383,0.070,0.07209,0.02791,100000.00000
0.223,0.340,0.53391,0.02658,0.06355
0.241,0.480,1.12071,0.45852,0.07115
0.479,0.460,1.04638,0.35232,-242.55030
1.295,0.180,0.18145,0.17602,100000.00000
0.484,0.180,0.18192,0.15313,100000.00000
0.692,0.240,0.24186,0.22676,100000.00000
1.460,0.290,0.29146,0.28645,100000.00000
0.752,0.260,0.26181,0.24850,100000.00000
0.349,0.440,1.05172,0.01634,-4.45212
0.898,0.280,0.28171,0.27166,100000.00000
0.777,0.280,0.28180,0.26892,100000.00000
0.589,0.270,0.27182,0.25013,100000.00000
0.924,0.310,0.31170,0.30172,100000.00000
0.757,0.310,0.31179,0.29769,100000.00000
0.323,0.210,0.21108,0.04968,100000.00000
0.756,0.370,0.37173,0.35586,100000.00000
0.807,0.390,0.39169,0.37706,100000.00000
0.280,0.360,1.15842,0.09258,-1.56449
0.542,0.120,0.12203,0.10067,100000.00000
0.537,0.440,0.44107,0.37779,100000.00000
0.692,0.450,0.45140,0.42336,100000.00000
0.179,0.300,0.99697,0.28732,0.03927
0.325,0.150,0.15118,0.07013,100000.00000
0.596,0.130,0.13198,0.11408,100000.00000
0.260,0.170,0.17544,0.01384,100000.00000
1.326,0.220,0.22146,0.21608,100000.00000
1.378,0.090,0.09128,0.08463,100000.00000
0.274,0.060,0.13928,0.00001,100000.00000
0.611,0.350,0.35165,0.32766,100000.00000
0.181,0.090,1.58642,0.07812,0.22679
0.235,0.100,1.53006,0.00107,-2.36401
0.257,0.220,1.02029,0.00010,-1936.15354
0.101,0.360,-1.00000,-1.00000,0.00000
0.333,0.220,0.22101,0.12906,100000.00000
1.290,0.110,0.11141,0.10610,100000.00000
0.484,0.340,0.34188,0.29932,100000.00000
0.673,0.410,0.41158,0.38879,100000.00000
1.294,0.450,0.45158,0.44426,100000.00000
1.497,0.280,0.28144,0.27662,100000.00000
0.892,0.370,0.37172,0.36009,100000.00000
1.162,0.440,0.44161,0.43311,100000.00000
1.424,0.450,0.45154,0.44452,100000.00000
0.539,0.420,0.42124,0.37661,100000.00000
1.040,0.070,0.07154,0.06455,100000.00000
0.940,0.240,0.24168,0.23270,100000.00000
1.495,0.010,0.01128,0.00683,100000.00000
0.497,0.480,1.05297,0.39506,-119.41987
0.107,0.080,0.65782,0.08076,0.02216
1.378,0.150,0.15140,0.14644,100000.00000
0.941,0.460,0.46164,0.44877,100000.00000
0.497,0.170,0.17196,0.14516,100000.00000
0.231,0.140,1.58609,0.00215,-4.16569
1.149,0.030,0.03144,0.02538,100000.00000
0.846,0.070,0.07169,0.06181,100000.00000
0.913,0.220,0.22169,0.21247,100000.00000
0.685,0.380,0.38164,0.36121,100000.00000
1.013,0.260,0.26164,0.25345,100000.00000
1.373,0.060,0.06160,0.05647,100000.00000
0.103,0.240,0.24087,0.24087,-0.00460
1.255,0.240,0.24150,0.23566,100000.00000
0.596,0.480,0.48108,0.43480,100000.00000
0.897,0.180,0.18169,0.17248,100000.00000
0.143,0.450,-1.00000,-1.00000,0.00000
0.873,0.090,0.09167,0.08187,100000.00000
0.612,0.070,0.07198,0.05547,100000.00000
0.627,0.240,0.24188,0.22367,100000.00000
1.319,0.390,0.39201,0.38477,100000.00000
0.879,0.430,0.43175,0.41807,100000.00000
0.651,0.410,0.41155,0.38687,100000.00000
0.649,0.420,0.42149,0.39556,100000.00000
0.140,0.210,0.48642,0.19353,0.08586
0.400,0.220,0.22145,0.17081,100000.00000
0.100,0.470,0.47103,0.47103,-0.00429
1.100,0.310,0.31161,0.30395,100000.00000
0.593,0.420,0.42136,0.38807,100000.00000
1.240,0.420,0.42159,0.41417,100000.00000
0.114,0.230,-1.00000,-1.00000,0.00000
1.208,0.110,0.11145,0.10567,100000.00000
0.305,0.300,1.23653,0.00212,-25.99447
1.350,0.000,0.00389,0.00000,100000.00000
1.403,0.400,0.40250,0.39587,100000.00000
0.665,0.090,0.09191,0.07758,100000.00000
1.393,0.470,0.47156,0.46471,100000.00000
1.119,0.130,0.13153,0.12509,100000.00000
0.550,0.060,0.06207,0.04200,100000.00000
1.025,0.370,0.37167,0.36246,100000.00000
0.499,0.040,0.04218,0.01793,100000.00000
1.308,0.340,0.34154,0.33558,100000.00000
0.949,0.180,0.18165,0.17257,100000.00000
0.436,0.390,0.40444,0.32300,100000.00000
0.885,0.050,0.05165,0.04294,100000.00000
0.690,0.080,0.08189,0.06848,100000.00000
1.170,0.470,0.47160,0.46265,100000.00000
1.347,0.040,0.04147,0.03636,100000.00000
1.447,0.320,0.32148,0.31630,100000.00000
0.166,0.020,1.44722,0.02071,-0.79871
0.504,0.320,0.32151,0.28607,100000.00000
1.396,0.260,0.26146,0.25629,100000.00000
0.827,0.270,0.27178,0.26038,100000.00000
1.176,0.370,0.37160,0.36414,100000.00000
0.632,0.500,0.50313,0.44133,100000.00000
0.715,0.350,0.35175,0.33474,100000.00000
0.846,0.300,0.30180,0.29037,100000.00000
0.879,0.120,0.12168,0.11251,100000.00000
