#a_0,e_0,emax,emin,tcol
0.177,0.210,0.61462,0.18069,0.04830
0.300,0.130,0.54196,0.00979,0.17002
0.332,0.230,1.60251,0.11492,-21.96813
0.368,0.400,1.15733,0.27736,-32.06495
0.345,0.430,1.13844,0.10132,-36.46666
0.249,0.020,0.72572,0.01629,0.67494
0.294,0.190,0.41449,0.04213,0.12847
0.279,0.180,2.49980,0.02183,0.17514
0.249,0.220,1.63854,0.11210,-18.66301
0.357,0.070,1.20873,0.00016,-43.53716
0.299,0.010,1.20946,0.00893,0.16243
0.294,0.140,0.43177,0.00814,0.13005
0.434,0.360,1.07752,0.05863,-25.99714
0.396,0.450,0.45044,0.24216,0.18710
0.425,0.450,1.22606,0.21352,-28.94795
0.336,0.280,1.07449,0.01094,-89.67549
0.444,0.080,0.25896,0.01304,-189.54131
0.210,0.020,0.51128,0.01857,0.04007
0.253,0.430,0.72575,0.39541,0.10054
0.214,0.110,0.66324,0.09122,0.04574
0.286,0.170,1.69497,0.02095,0.58068
0.271,0.460,0.96950,0.42576,0.11430
0.189,0.400,0.40043,0.40043,-0.00454
0.373,0.270,1.13763,0.04995,-43.86178
0.439,0.180,0.35360,0.10014,-20.68408
0.244,0.400,0.52864,0.36633,0.09302
0.451,0.140,0.28480,0.03405,32.49245
0.375,0.030,1.23713,0.00400,-49.67235
0.407,0.500,1.53942,0.01551,2.71918
0.223,0.060,0.80059,0.04257,0.27228
0.383,0.350,2.05393,0.14621,-13.06121
0.234,0.260,2.80580,0.02499,0.17971
0.441,0.280,1.18459,0.12596,-43.04062
0.399,0.130,0.37340,0.02479,24.47400
0.446,0.290,1.03946,0.12478,-67.20550
0.313,0.490,0.52633,0.38445,0.13109
0.350,0.460,1.04157,0.30544,0.13691
0.449,0.410,1.42623,0.00474,8.14611
0.457,0.180,1.89901,0.02742,-35.87092
0.399,0.110,1.08678,0.00356,-78.20971
0.302,0.500,0.90139,0.46677,0.12972
0.365,0.110,0.31237,0.00106,-68.66857
0.323,0.020,2.01214,0.01363,-16.28618
0.372,0.220,1.90823,0.02513,-14.40981
0.174,0.490,0.49046,0.49046,-0.00603
0.224,0.470,0.47045,0.47045,-0.00336
0.182,0.270,3.10979,0.23607,-9.31590
0.309,0.030,0.53637,0.00389,0.26775
0.217,0.160,1.07180,0.13743,-50.63148
0.194,0.250,1.92621,0.21951,-20.91734
0.295,0.090,0.65408,0.02468,0.27152
0.282,0.050,1.31696,0.03345,-25.15725
0.388,0.150,1.58736,0.04210,4.84184
0.377,0.390,1.19474,0.07451,-31.45479
0.391,0.010,2.15756,0.00419,-17.76274
0.411,0.170,1.06991,0.01334,-183.50064
0.456,0.010,1.37652,0.00031,-361.01391
0.402,0.270,1.04421,0.16391,-84.91612
0.270,0.280,2.98449,0.17755,1.21210
0.169,0.170,0.56460,0.14419,0.04246
0.381,0.480,1.00399,0.24112,0.22428
0.336,0.090,1.48957,0.02087,-21.39975
0.355,0.480,1.40031,0.41260,0.13564
0.259,0.370,2.02494,0.34034,1.24423
0.293,0.350,0.37228,0.10907,0.11316
0.390,0.000,1.69169,0.00031,-52.05866
0.450,0.050,1.04017,0.00094,-204.72821
0.335,0.210,2.02055,0.10231,2.20612
0.456,0.180,0.18513,0.01247,3.58300
0.309,0.210,0.82649,0.08019,0.36291
0.230,0.320,0.71442,0.28971,0.07443
0.368,0.290,1.63719,0.08232,-21.77382
0.159,0.460,0.46045,0.46045,-0.00647
0.159,0.490,0.49046,0.49046,-0.00645
0.417,0.120,0.44098,0.03036,-129.82722
0.171,0.110,0.55824,0.09187,0.03679
0.184,0.220,0.60625,0.19059,0.05046
0.317,0.390,0.75225,0.31193,0.11242
0.157,0.420,-1.00000,-1.00000,0.00000
0.336,0.040,1.24118,0.00743,2.07253
0.352,0.010,1.53263,0.00733,3.13464
0.384,0.100,1.45406,0.00395,-36.04562
0.232,0.390,0.54850,0.34269,0.09027
0.338,0.310,0.49861,0.04018,0.42452
0.256,0.410,0.51179,0.37738,0.09584
0.258,0.460,1.19655,0.42366,-25.40563
0.378,0.180,1.08300,0.06525,-62.65109
0.182,0.490,0.49046,0.49046,-0.00578
0.375,0.230,1.10040,0.00438,-49.73209
0.394,0.370,2.09560,0.25369,0.46420
0.334,0.010,0.32186,0.00780,2.37300
0.262,0.110,1.03029,0.08157,0.98255
0.201,0.180,0.63683,0.15523,0.04705
0.353,0.090,0.24568,0.00023,-58.17135
0.187,0.290,1.00525,0.11762,0.09652
0.317,0.450,1.05050,0.41976,-59.24844
0.263,0.280,1.09354,0.18246,0.07949
0.432,0.270,1.09381,0.06468,-58.09458
0.292,0.240,0.50539,0.08585,0.13630
0.437,0.120,0.19469,0.04915,-63.12965
0.441,0.070,1.46153,0.00138,-48.42423
0.345,0.360,0.40188,0.13541,0.27134
0.439,0.410,1.93088,0.07835,-15.72496
0.215,0.150,0.75495,0.12800,0.05018
0.404,0.030,0.37200,0.00162,3.74900
0.195,0.400,0.40043,0.40043,-0.00402
0.363,0.410,2.27956,0.27447,-15.54833
0.321,0.380,1.92250,0.04878,3.61487
0.348,0.020,1.67935,0.01117,4.23561
0.256,0.390,0.60832,0.11049,0.13843
0.358,0.350,1.16866,0.19251,-35.01664
0.327,0.290,0.78513,0.05562,0.83673
0.394,0.310,1.06589,0.18840,-55.16357
0.397,0.490,0.49046,0.24400,0.17093
0.181,0.230,0.63637,0.19938,0.05248
0.339,0.290,1.14476,0.17006,-43.32861
0.358,0.360,1.41567,0.19592,-20.82565
0.298,0.340,0.34793,0.18798,0.11083
0.353,0.050,1.03715,0.00039,-96.38343
0.448,0.490,1.43547,0.36909,-19.36403
0.417,0.410,1.18753,0.07123,-28.96049
0.409,0.120,0.29198,0.00861,12.39100
0.203,0.390,0.39043,0.39043,-0.00278
0.222,0.240,0.67442,0.07210,0.37683
0.182,0.290,0.29039,0.29039,-0.00148
0.318,0.230,0.74033,0.10467,0.60733
0.313,0.000,2.51548,0.00031,-49.35810
0.391,0.490,0.49046,0.11433,0.17580
0.454,0.440,1.06965,0.10482,2.18104
0.352,0.240,1.05604,0.12178,-71.05799
0.274,0.000,0.53279,0.00031,0.14064
0.223,0.420,-1.00000,-1.00000,0.00000
0.280,0.420,0.63348,0.38982,0.10089
0.340,0.480,0.82976,0.38234,0.13370
0.424,0.420,0.92273,0.17733,2.83248
0.227,0.340,1.00906,0.30801,0.07374
0.283,0.220,1.12016,0.07570,0.99139
0.202,0.070,0.45683,0.05813,0.03931
0.319,0.290,0.76498,0.16578,0.45031
0.267,0.480,0.59087,0.31355,0.12697
0.199,0.410,0.41043,0.41043,-0.00389
0.378,0.110,1.32955,0.01653,-32.66388
0.316,0.260,0.79767,0.13211,0.30636
0.416,0.060,1.45768,0.00067,-63.50962
0.257,0.310,1.02964,0.25710,0.07695
0.185,0.430,0.43044,0.43044,-0.00524
0.337,0.400,2.47463,0.30797,1.37150
0.153,0.070,0.56345,0.05449,0.03318
0.339,0.010,1.11647,0.00765,-92.20723
0.452,0.440,1.06959,0.01262,-53.72215
0.257,0.450,0.87857,0.41438,0.10877
0.319,0.010,1.26940,0.00328,-34.03175
0.426,0.390,1.47978,0.26802,-22.42139
0.171,0.430,-1.00000,-1.00000,0.00000
0.439,0.360,1.14280,0.10884,-53.65943
0.179,0.440,0.44044,0.44044,-0.00564
0.221,0.480,-1.00000,-1.00000,0.00000
0.174,0.210,0.60661,0.18036,0.04830
0.201,0.190,0.59482,0.16452,0.04835
0.454,0.220,0.28107,0.10816,-26.70943
0.231,0.470,0.47045,0.47045,-0.00272
0.442,0.080,0.08033,0.00716,1.19900
0.278,0.140,2.60468,0.02259,-12.02053
0.283,0.450,0.91659,0.41818,0.10923
0.382,0.280,1.21527,0.11654,-27.43148
0.385,0.170,0.94868,0.06134,15.83643
0.452,0.500,1.21459,0.38767,-17.07563
0.201,0.230,2.70007,0.20179,-11.04941
0.182,0.140,0.54291,0.11811,0.04010
0.407,0.490,1.47652,0.09003,-17.88929
0.326,0.060,1.43776,0.00908,-31.68421
0.249,0.110,0.95762,0.08649,6.44937
0.335,0.390,2.43209,0.29417,-11.72267
0.443,0.250,1.04166,0.16394,-142.39244
0.243,0.330,1.01195,0.30073,0.07490
0.388,0.480,0.48045,0.01272,0.18607
0.272,0.420,0.61453,0.38886,0.09952
0.165,0.430,0.43044,0.43044,-0.00622
0.433,0.300,1.50243,0.07386,-40.28119
0.429,0.430,1.79125,0.23483,-20.93348
0.153,0.060,0.55632,0.04661,0.03244
0.431,0.410,1.22895,0.28672,-22.09798
0.158,0.290,-1.00000,-1.00000,0.00000
0.166,0.450,-1.00000,-1.00000,0.00000
0.204,0.290,2.91714,0.15271,0.09548
0.175,0.090,0.51832,0.07405,0.03572
0.457,0.360,1.07268,0.04612,-59.90987
0.252,0.050,1.42922,0.03807,-28.90722
0.348,0.280,0.88986,0.11986,5.70062
0.167,0.280,-1.00000,-1.00000,0.00000
0.296,0.450,0.97846,0.41972,0.11254
0.233,0.080,1.18139,0.06403,-33.36188
0.237,0.380,0.90918,0.34672,1.48207
0.428,0.010,0.21859,0.00484,1.15400
0.262,0.440,0.81849,0.40600,0.10393
0.162,0.000,0.47629,0.00031,0.02937
0.232,0.120,1.07339,0.09863,4.65193
0.172,0.230,0.55846,0.19819,0.05267
0.328,0.500,1.09808,0.46977,0.13105
0.232,0.470,0.47045,0.47045,-0.00262
0.222,0.310,0.52442,0.27926,0.07484
0.329,0.030,1.70257,0.00467,2.16210
0.234,0.390,0.54490,0.33600,0.09042
0.242,0.010,1.06437,0.01031,-58.68954
0.403,0.120,1.09783,0.00983,-63.19557
0.309,0.170,1.20330,0.04817,-30.39042
0.253,0.150,1.06402,0.07310,0.17710
0.196,0.070,0.52267,0.05772,0.03774
0.381,0.270,1.07125,0.02908,10.91167
0.164,0.130,0.58183,0.10922,0.03819
0.406,0.080,1.08126,0.00115,-195.04108
0.238,0.030,2.45629,0.02381,-11.54702
0.419,0.340,1.27983,0.23285,-52.35036
0.436,0.450,1.35717,0.29715,-25.28772
0.356,0.020,1.01772,0.00744,-57.61406
0.276,0.130,1.01157,0.03750,0.99063
0.301,0.220,0.37246,0.08418,0.12281
0.402,0.180,0.87993,0.07185,27.00400
0.205,0.430,-1.00000,-1.00000,0.00000
0.202,0.440,-1.00000,-1.00000,0.00000
0.376,0.290,1.21176,0.07644,1.50603
0.462,0.460,1.28622,0.10607,5.58706
0.255,0.360,2.12190,0.33044,-11.89063
0.432,0.100,0.31102,0.00062,-60.28581
0.198,0.250,1.35406,0.22004,3.46537
0.421,0.260,0.50938,0.01967,10.00136
0.449,0.150,1.22197,0.02017,-45.81574
0.378,0.100,1.16329,0.00728,-51.01812
0.238,0.220,2.53613,0.19284,-10.50964
0.302,0.450,3.05098,0.42000,1.61324
0.246,0.400,0.52456,0.36663,0.09321
0.398,0.330,2.26602,0.21709,-13.67034
0.426,0.190,1.34864,0.07847,-36.26781
0.330,0.240,0.75734,0.08525,1.94022
0.405,0.170,1.24561,0.00283,-64.82183
0.383,0.470,0.81128,0.18255,0.22650
0.439,0.050,1.02816,0.00015,-179.45816
0.269,0.480,0.58684,0.21821,0.12781
0.272,0.290,2.73602,0.19436,-10.28596
0.216,0.020,0.63889,0.01808,0.04314
0.193,0.020,0.47087,0.02031,0.03506
0.363,0.490,1.47484,0.43027,-17.67562
0.194,0.090,0.49326,0.07491,0.03838
0.179,0.110,0.51114,0.09252,0.03749
0.195,0.390,0.39043,0.39043,-0.00376
0.400,0.220,1.06339,0.00903,-55.66316
0.432,0.450,1.14130,0.22347,-37.29652
0.434,0.100,0.98064,0.00191,-51.80419
0.154,0.070,0.53567,0.05456,0.03322
0.252,0.070,1.13759,0.05323,-39.20532
0.228,0.500,0.50046,0.50046,-0.00386
0.416,0.420,0.99305,0.28997,-26.76946
0.413,0.120,0.28528,0.02236,-42.24944
0.277,0.340,2.82104,0.28158,-9.70208
0.458,0.140,1.13977,0.01497,-74.97728
0.347,0.070,1.11916,0.00389,-43.46112
0.269,0.220,1.81926,0.06102,-15.38469
0.388,0.040,1.02402,0.00281,-157.53879
0.433,0.430,1.01052,0.28993,-69.89350
0.225,0.090,0.79752,0.07311,0.43759
0.353,0.160,0.44989,0.00871,1.92632
0.387,0.140,1.11364,0.03233,-54.02717
0.440,0.160,0.20312,0.05846,-52.19573
0.447,0.260,0.78853,0.17452,11.62204
0.462,0.020,1.75106,0.00026,-1197.32437
0.395,0.490,0.49046,0.18032,0.17175
0.416,0.110,1.05891,0.02172,-80.91974
0.160,0.330,0.33041,0.33041,-0.00600
0.235,0.150,1.23059,0.12567,-29.38554
0.459,0.050,1.07534,0.00066,-125.46591
0.462,0.380,1.32323,0.23227,-31.20482
0.252,0.150,0.88723,0.12119,0.16368
