#a_0,e_0,emax,emin,tcol
0.448,0.080,1.32765,0.05125,-29.37863
0.431,0.440,0.93384,0.33233,1.41535
0.386,0.240,1.59614,0.15155,-16.14232
0.510,0.020,0.20681,0.00203,-74.83533
0.392,0.450,0.62039,0.21037,0.23091
0.525,0.480,0.88178,0.23236,0.92429
0.472,0.340,1.43013,0.26825,0.21386
0.591,0.000,0.14680,0.00011,3.02400
0.515,0.200,1.10737,0.04138,-97.73187
0.345,0.240,1.03633,0.10537,0.46316
0.251,0.010,0.74045,0.01011,0.17504
0.580,0.440,1.10501,0.35943,-35.62539
0.381,0.000,1.81700,0.00011,-16.86636
0.323,0.140,0.99929,0.02068,0.15424
0.487,0.500,0.83109,0.40160,0.52275
0.352,0.490,1.10563,0.45594,0.50117
0.491,0.060,1.06061,0.00128,-75.79236
0.430,0.150,1.23425,0.09768,-30.76914
0.503,0.170,1.07417,0.06449,-123.08631
0.362,0.010,0.50987,0.00892,0.15636
0.609,0.470,0.75118,0.19171,1.03307
0.217,0.080,0.57011,0.06505,0.03486
0.316,0.190,0.96911,0.02193,0.16022
0.394,0.030,0.56168,0.00431,0.35528
0.371,0.290,0.88484,0.06574,0.15992
0.605,0.210,0.62335,0.10071,-135.21635
0.425,0.450,1.02784,0.34323,-27.12439
0.511,0.200,1.05283,0.03715,-77.25473
0.531,0.130,1.17182,0.01605,-62.27192
0.583,0.370,1.61177,0.15151,-17.35791
0.337,0.320,0.42936,0.14710,0.12506
0.473,0.030,1.48752,0.01249,8.82861
0.497,0.220,1.32333,0.01684,-52.43949
0.329,0.490,1.05269,0.45293,0.11618
0.600,0.260,0.97788,0.09514,-68.13497
0.340,0.190,0.98906,0.07269,0.16900
0.319,0.380,0.49853,0.00553,0.13799
0.364,0.150,0.83847,0.07422,0.15520
0.212,0.250,0.91314,0.21648,0.04842
0.249,0.340,0.86566,0.03241,0.08669
0.421,0.010,0.75614,0.00536,-20.73200
0.516,0.300,1.72072,0.05021,-13.90259
0.600,0.390,0.97604,0.08079,-22.34224
0.382,0.380,2.06153,0.25514,-19.41550
0.514,0.260,1.09355,0.02486,-48.24624
0.461,0.060,1.15728,0.01874,-80.35850
0.562,0.130,1.13290,0.00141,-111.97853
0.486,0.020,1.15540,0.00433,-242.43807
0.354,0.470,0.91496,0.41936,0.11599
0.563,0.200,1.06617,0.05041,-66.22976
0.608,0.330,1.11595,0.08775,-60.59047
0.276,0.000,1.08955,0.00011,-42.72451
0.404,0.450,0.98960,0.30080,0.14330
0.467,0.370,0.92041,0.10445,0.21473
0.404,0.010,1.91584,0.00606,-18.07545
0.585,0.330,1.18729,0.11618,-40.47524
0.616,0.400,1.17208,0.04709,-39.56676
0.549,0.080,1.21455,0.00435,-97.47755
0.496,0.140,1.11359,0.05689,-52.10375
0.519,0.430,0.92518,0.05220,3.66083
0.364,0.310,2.13512,0.17634,-11.31565
0.436,0.260,1.23436,0.19485,0.31501
0.485,0.380,1.59308,0.30197,-16.71211
0.543,0.320,1.41156,0.23098,-25.37567
0.293,0.100,1.13133,0.05534,-31.84942
0.531,0.310,1.82930,0.02521,-40.72407
0.586,0.110,1.03615,0.03727,-112.24036
