#a_0,e_0,emax,emin,tcol
0.523,0.180,1.81101,0.18012,0.23276
0.604,0.400,0.53697,0.40014,0.32053
0.593,0.410,0.99994,0.41014,0.30817
0.654,0.390,0.92357,0.19143,0.44174
0.462,0.470,1.28270,0.47015,1.44960
0.520,0.230,0.85744,0.07299,3.07288
0.632,0.190,1.51684,0.11557,-25.19821
0.254,0.140,1.55058,0.14012,-18.78149
0.453,0.400,1.90385,0.40014,0.47117
0.919,0.210,1.38618,0.07954,-85.98291
0.412,0.490,1.05563,0.49015,-42.04123
0.716,0.110,1.06654,0.00307,-70.42532
0.976,0.310,1.00824,0.21289,-128.57538
0.442,0.010,0.95612,0.01010,0.10400
1.032,0.290,0.35301,0.17497,-46.57151
0.703,0.270,0.73729,0.10168,1.30971
0.583,0.120,1.12450,0.09795,-39.16309
0.678,0.350,1.24249,0.29697,-74.54299
0.874,0.410,0.88201,0.26818,0.58722
0.855,0.220,1.08866,0.09435,-65.89344
0.697,0.270,1.19891,0.12298,-34.67066
0.373,0.370,0.84879,0.37014,0.83402
0.366,0.400,1.88250,0.40014,-15.79067
1.078,0.210,1.11746,0.06825,-233.46145
0.734,0.500,1.32159,0.50015,-32.03426
0.302,0.030,0.99384,0.03010,0.12740
0.589,0.140,0.92137,0.05235,7.89604
0.923,0.350,0.44054,0.18152,-37.51385
0.425,0.380,1.97265,0.38014,-11.97544
0.726,0.430,1.30168,0.40367,-18.93589
0.774,0.440,1.02598,0.38907,-55.60041
1.062,0.320,1.25944,0.20987,-82.94465
0.247,0.240,9.00811,0.24013,3.85423
1.031,0.000,0.26823,0.00010,-378.86173
0.657,0.160,1.08156,0.06778,-55.47375
0.609,0.080,1.74873,0.05333,-16.90666
0.584,0.460,1.42255,0.46015,-20.73255
0.440,0.380,1.52055,0.38014,-18.00240
0.666,0.320,1.27260,0.25026,-42.89563
0.620,0.360,1.06211,0.36014,-53.22669
0.656,0.430,1.31614,0.43015,0.32414
1.059,0.390,1.00848,0.23748,-176.70014
0.738,0.250,1.11451,0.01383,-46.98495
1.055,0.040,0.17396,0.00053,-734.21085
0.948,0.420,1.09813,0.14427,-71.57555
0.873,0.100,1.06243,0.01574,-221.90036
0.991,0.340,1.03153,0.11935,-124.08038
0.482,0.110,0.85914,0.11011,0.12902
0.896,0.430,0.99164,0.30174,-47.84416
0.573,0.150,1.26328,0.13389,-27.41134
0.917,0.100,0.18123,0.00192,-252.65991
1.083,0.350,1.00292,0.21255,-138.13064
0.697,0.430,1.13227,0.43015,0.32590
0.918,0.270,1.13145,0.10902,-78.52131
