#a_0,e_0,emax,emin,tcol
0.598,0.400,0.64371,0.08746,0.94050
0.450,0.420,1.38891,0.39179,-29.99570
0.295,0.010,0.58900,0.01036,0.08085
0.549,0.350,0.98555,0.06752,-48.77746
0.649,0.140,0.84528,0.00378,-135.42729
0.476,0.390,3.55490,0.30885,0.69567
0.568,0.190,1.88213,0.00646,-31.65186
0.534,0.090,1.72450,0.03046,4.32052
0.262,0.200,2.39971,0.17420,-22.32538
0.537,0.110,1.01179,0.04637,2.71149
0.586,0.300,1.09967,0.14038,0.84773
0.591,0.310,0.95660,0.09620,0.78457
0.586,0.440,0.44051,0.10960,0.39514
0.589,0.470,0.47052,0.25443,0.36649
0.284,0.070,0.56303,0.05723,0.08471
0.359,0.110,1.80895,0.09261,1.05998
0.676,0.270,1.19805,0.09420,-62.64924
0.384,0.400,0.87010,0.36822,0.22286
0.213,0.160,-1.00000,-1.00000,0.00000
0.646,0.290,1.43102,0.02808,-78.02963
0.507,0.430,3.38363,0.01989,0.32367
0.211,0.400,0.40050,0.40050,-0.01381
0.265,0.280,1.00874,0.24637,0.16093
0.245,0.170,0.80455,0.14483,0.10959
0.504,0.210,2.06202,0.10983,-21.46703
0.657,0.210,1.64846,0.03674,-290.09838
0.203,0.110,0.11040,0.11040,-0.01011
0.474,0.210,0.51347,0.10128,0.25782
0.350,0.020,1.14669,0.01898,2.94493
0.619,0.070,1.24494,0.00506,-48.72844
0.375,0.400,0.88395,0.36743,0.22350
0.380,0.240,4.98910,0.12374,0.18928
0.614,0.500,1.88412,0.43886,-22.49937
0.375,0.240,1.97240,0.11217,0.18555
0.696,0.270,1.73545,0.17372,-44.47987
0.451,0.460,0.53117,0.36369,0.28859
0.703,0.260,1.37958,0.16595,-94.96033
0.644,0.410,1.03155,0.20676,-73.21698
0.278,0.340,-1.00000,-1.00000,0.00000
0.649,0.390,0.80165,0.28130,2.75271
0.321,0.380,0.93530,0.34346,0.22147
0.387,0.270,1.40526,0.21173,0.17931
0.684,0.080,0.33130,0.00146,-94.84404
0.380,0.020,1.07046,0.01762,-75.14222
0.267,0.340,0.34048,0.34048,-0.00640
0.498,0.480,2.02110,0.45129,-17.51094
0.563,0.380,0.67345,0.06529,0.85960
0.700,0.030,1.21811,0.00094,-100.94455
0.559,0.180,1.11216,0.06866,-100.58001
0.496,0.290,0.88204,0.18688,4.81555
0.429,0.390,0.77360,0.36208,0.22465
0.702,0.020,0.36942,0.00033,-1496.32264
0.615,0.400,0.82751,0.14152,2.12796
0.418,0.330,0.50068,0.02768,0.27587
0.672,0.330,1.50120,0.02287,-43.62169
0.416,0.070,0.42718,0.04705,0.27115
0.338,0.180,0.72131,0.15774,1.06908
0.520,0.460,2.64492,0.41534,0.31000
0.424,0.300,0.54811,0.13125,0.29942
0.500,0.110,1.01233,0.03178,-210.97828
0.677,0.170,1.10958,0.07498,-115.83682
0.316,0.140,2.73901,0.12056,-14.27185
0.226,0.310,0.31047,0.31047,-0.01192
0.294,0.250,11.43500,0.17769,0.20783
0.367,0.230,2.53102,0.02427,0.20610
0.279,0.280,0.92729,0.24757,0.16057
0.277,0.480,-1.00000,-1.00000,0.00000
0.556,0.350,1.49346,0.23617,-40.22441
0.371,0.330,1.52264,0.30147,-24.80863
0.562,0.160,0.97934,0.04863,15.57005
0.603,0.150,0.65145,0.02734,8.10146
0.682,0.240,0.78634,0.14138,23.44157
0.493,0.060,1.17021,0.00608,-47.63504
0.554,0.370,1.31439,0.25594,-36.01694
0.608,0.150,1.18020,0.01337,-79.56435
0.423,0.380,0.63539,0.35222,0.21984
0.461,0.080,0.39726,0.00372,0.26171
0.482,0.110,0.46417,0.02334,0.31375
0.312,0.240,0.81470,0.18771,0.38373
0.376,0.330,1.28319,0.30180,-33.25011
0.257,0.110,0.58928,0.09127,0.08817
0.368,0.250,0.82482,0.14051,0.18048
0.526,0.120,1.96079,0.00622,-21.93960
0.673,0.030,0.09276,0.00178,39.85100
0.218,0.260,0.26045,0.26045,-0.01211
0.695,0.440,1.63972,0.11708,-26.73664
0.592,0.040,0.23187,0.00752,-54.29684
0.317,0.330,0.60600,0.29705,0.18495
0.609,0.380,0.76844,0.03104,1.68398
0.671,0.440,1.42758,0.33893,-35.31846
0.460,0.240,0.38723,0.13183,0.24386
0.317,0.440,-1.00000,-1.00000,0.00000
0.628,0.270,1.03276,0.16243,-131.71187
0.599,0.030,1.04124,0.00211,-145.44107
0.310,0.120,0.91709,0.10285,0.10744
0.550,0.320,1.70819,0.19986,-28.05649
0.257,0.460,-1.00000,-1.00000,0.00000
0.411,0.110,0.45890,0.03305,0.27641
0.472,0.110,0.39800,0.01936,0.26277
0.252,0.320,0.32047,0.32047,-0.00816
0.256,0.400,0.40050,0.40050,-0.01049
0.263,0.330,0.33047,0.33047,-0.00653
0.432,0.450,10.23226,0.30111,0.33545
0.312,0.090,0.70047,0.07664,0.10130
0.470,0.400,1.01954,0.36888,0.68873
0.235,0.220,-1.00000,-1.00000,0.00000
0.514,0.400,1.04611,0.06317,-34.76343
0.236,0.060,0.59799,0.04834,0.07781
0.384,0.350,0.65487,0.09262,0.32099
0.670,0.120,1.18211,0.03225,-88.68482
0.500,0.300,1.42508,0.07679,-35.59531
0.488,0.000,0.34361,0.00036,0.45301
0.459,0.100,0.38486,0.00679,0.25797
0.343,0.000,0.83750,0.00036,2.40897
0.603,0.050,1.12813,0.00227,-92.95218
0.575,0.460,0.46052,0.01786,0.40291
0.335,0.270,0.64101,0.22562,0.17175
0.650,0.500,1.62329,0.07625,1.17198
0.350,0.490,0.49053,0.49053,-0.00432
0.528,0.480,0.80476,0.45288,1.63394
0.617,0.450,1.44701,0.36259,-45.73097
0.357,0.310,1.32617,0.28162,0.17084
0.414,0.450,0.94491,0.06818,0.31006
0.515,0.410,1.01895,0.01235,-44.46541
0.267,0.140,0.65200,0.11969,0.09656
0.360,0.200,1.40770,0.05224,-27.56276
0.443,0.060,0.48585,0.01125,0.27580
0.644,0.300,1.59996,0.03093,-29.10720
0.674,0.000,0.93504,0.00035,-381.17649
0.342,0.360,0.54470,0.32723,0.20163
0.585,0.410,1.63598,0.05812,1.68581
0.237,0.250,0.25045,0.25045,-0.00722
0.428,0.430,1.16376,0.39977,-42.27649
0.343,0.200,1.21854,0.02617,1.59594
0.505,0.110,1.07140,0.03363,-82.00708
0.339,0.270,0.65236,0.22616,0.17179
0.505,0.240,1.19275,0.13629,-47.02998
0.669,0.100,0.32284,0.01330,-87.69776
0.480,0.110,0.44730,0.02228,0.27671
0.315,0.490,0.49053,0.49053,-0.00818
0.381,0.070,1.41905,0.05657,-33.16584
0.267,0.410,0.41050,0.41050,-0.00970
0.608,0.350,1.56000,0.24577,-26.49882
0.498,0.100,1.37572,0.02396,2.22612
0.664,0.080,1.22444,0.00456,-115.37686
0.622,0.120,1.03261,0.00301,-151.64786
0.455,0.310,0.40927,0.22928,0.23242
0.414,0.270,0.76410,0.19246,1.08904
0.592,0.070,1.14696,0.00745,-60.05430
0.346,0.290,0.77824,0.26201,0.16698
0.261,0.310,0.31047,0.31047,-0.00532
0.583,0.070,1.08582,0.02091,-122.78653
0.687,0.270,1.09034,0.08762,-114.33757
0.525,0.080,1.16373,0.01907,-48.64732
0.524,0.500,0.54044,0.02353,0.37545
0.515,0.130,1.07131,0.05257,-139.29150
0.232,0.420,0.42051,0.42051,-0.01254
0.694,0.100,0.16953,0.00383,-97.04885
0.591,0.370,1.07543,0.21543,-61.04233
0.308,0.400,0.40050,0.40050,-0.00228
0.366,0.470,0.87771,0.43054,0.33064
0.508,0.170,1.06781,0.07971,-74.90425
0.702,0.180,0.20722,0.01271,-149.92451
0.246,0.140,0.71191,0.11747,0.09662
0.521,0.050,1.20008,0.00479,-78.65952
0.490,0.150,0.73663,0.05669,1.33208
0.577,0.210,1.07236,0.01367,-95.02690
0.461,0.330,0.54376,0.25650,0.23265
0.255,0.170,0.71137,0.14610,0.10814
0.259,0.210,1.01471,0.18301,-295.07363
0.477,0.380,2.81408,0.05134,0.60476
0.274,0.160,0.79614,0.13887,0.10410
0.603,0.090,1.24005,0.00131,-223.90100
0.380,0.420,1.18869,0.38642,0.24712
0.600,0.390,0.67065,0.29005,1.24258
0.598,0.090,0.97643,0.00130,-94.51739
