#a_0,e_0,emax,emin,tcol
0.358,0.470,0.62446,0.43355,0.14723
0.435,0.290,1.70044,0.14993,-1.81401
0.392,0.290,2.43712,0.14866,-1.16880
0.675,0.480,1.12894,0.21934,-9.80106
0.534,0.470,1.07820,0.17642,1.18499
0.590,0.300,1.39197,0.20737,-25.09047
0.603,0.480,0.97838,0.37628,-7.83328
0.465,0.390,2.72708,0.26614,2.38130
0.559,0.450,1.82949,0.18334,-1.86686
0.335,0.260,1.00638,0.08755,0.11935
0.826,0.390,0.95414,0.33395,-4543.05726
1.329,0.050,0.05810,0.03937,100000.00000
0.241,0.460,0.46122,0.46122,-0.00898
1.428,0.110,0.11741,0.10010,100000.00000
0.574,0.020,0.04796,0.00001,100000.00000
1.192,0.110,0.11869,0.09705,100000.00000
0.699,0.070,0.08420,0.03682,100000.00000
1.450,0.140,0.14729,0.13020,100000.00000
1.294,0.170,0.17803,0.15821,100000.00000
1.137,0.120,0.12904,0.10596,100000.00000
0.398,0.150,2.07634,0.00509,-5.41129
1.418,0.190,0.19738,0.17956,100000.00000
0.572,0.110,0.12397,0.04768,100000.00000
0.234,0.250,0.25105,0.25105,0.00067
0.748,0.360,1.06437,0.28783,-2718.59552
0.413,0.060,1.45580,0.00143,-10.79144
0.459,0.210,1.11146,0.00242,-14.31753
0.234,0.400,0.40117,0.40117,-0.00869
0.447,0.000,0.12869,0.00002,100000.00000
1.450,0.250,0.25730,0.23955,100000.00000
1.069,0.260,0.26925,0.24223,100000.00000
1.091,0.310,0.31892,0.29085,100000.00000
1.209,0.320,0.32828,0.30454,100000.00000
0.351,0.480,0.66144,0.44265,0.14867
1.020,0.330,0.33906,0.30704,100000.00000
0.502,0.220,0.99780,0.13894,-22.87027
1.396,0.020,0.02825,0.01063,100000.00000
0.484,0.350,2.14655,0.23552,-1.89268
1.253,0.460,0.46710,0.43669,100000.00000
0.988,0.030,0.04123,0.01375,100000.00000
1.302,0.470,0.47704,0.44617,100000.00000
0.375,0.370,0.37115,0.03390,0.17899
0.953,0.440,0.44697,0.40501,100000.00000
0.535,0.060,0.07607,0.00001,100000.00000
1.126,0.470,0.47749,0.43993,100000.00000
0.431,0.490,5.07033,0.23841,0.23405
0.621,0.140,0.15829,0.09132,100000.00000
0.268,0.170,0.44979,0.14129,0.06550
0.500,0.250,1.16761,0.14072,-8.43762
1.176,0.070,0.07894,0.05707,100000.00000
1.230,0.280,0.28829,0.26588,100000.00000
0.390,0.370,0.37115,0.25591,0.16478
0.657,0.430,1.09914,0.31303,-30.50725
0.902,0.310,0.31990,0.28137,100000.00000
1.361,0.300,0.30764,0.28782,100000.00000
0.385,0.040,2.08496,0.00306,-1.76843
0.582,0.100,0.11451,0.04465,100000.00000
1.161,0.320,0.32855,0.30330,100000.00000
0.362,0.250,0.39525,0.03503,0.33243
0.968,0.450,0.95825,0.38607,-27870.28104
0.720,0.370,0.38201,0.29344,100000.00000
0.255,0.060,0.40965,0.04589,0.05379
0.448,0.120,1.02349,0.00003,-10273.61797
1.296,0.110,0.11810,0.09856,100000.00000
1.389,0.090,0.09762,0.07979,100000.00000
0.950,0.290,0.29984,0.26595,100000.00000
0.526,0.450,1.99235,0.29853,-2.45280
1.131,0.450,0.45807,0.42335,100000.00000
1.183,0.390,0.39822,0.37135,100000.00000
0.980,0.430,0.43831,0.39349,100000.00000
0.454,0.020,0.09581,0.00002,100000.00000
1.348,0.500,0.50791,0.48050,100000.00000
0.687,0.150,0.16469,0.11190,100000.00000
0.462,0.030,0.07586,0.00001,100000.00000
1.148,0.270,0.27879,0.25421,100000.00000
0.630,0.360,1.14460,0.12631,-131.23250
0.266,0.430,0.43120,0.43120,-0.00678
