#a_0,e_0,emax,emin,tcol
0.174,0.500,0.60321,0.18303,0.15028
0.133,0.350,0.35008,0.29954,0.00646
0.133,0.410,0.41008,0.41008,-0.00015
0.148,0.200,0.99472,0.13177,0.09978
0.112,0.400,0.40008,0.40008,-0.00212
0.279,0.040,0.16081,0.00399,0.77500
0.252,0.280,1.26812,0.23388,-31.49612
0.114,0.490,0.49009,0.49009,-0.00247
0.117,0.370,0.37008,0.37008,-0.00140
0.233,0.470,1.50467,0.11045,-13.55106
0.242,0.230,1.71208,0.04972,-37.59218
0.135,0.490,0.49009,0.49009,-0.00171
0.108,0.190,0.30134,0.18403,0.00421
0.263,0.220,0.36949,0.08255,29.86300
0.208,0.420,2.01512,0.41471,-9.60985
0.239,0.090,0.22010,0.02177,21.50000
0.236,0.210,1.40794,0.18167,-27.19883
0.090,0.490,-1.00000,-1.00000,0.00000
0.170,0.020,1.48757,0.00629,-15.40455
0.226,0.380,1.05106,0.29780,-49.79151
0.195,0.100,1.07969,0.03330,-114.09745
0.293,0.280,0.42337,0.25855,-149.26447
0.228,0.210,1.06916,0.18421,-67.03674
0.121,0.360,0.36008,0.36008,-0.00060
0.289,0.040,0.11705,0.00086,126.23100
0.112,0.360,0.36008,0.36008,-0.00174
0.090,0.240,-1.00000,-1.00000,0.00000
0.272,0.380,1.13853,0.28331,-34.65924
0.118,0.450,0.45009,0.45009,-0.00216
0.216,0.370,1.49054,0.36795,0.24189
0.217,0.370,1.56254,0.36802,-13.73055
0.263,0.090,0.24687,0.03400,-87.96432
0.163,0.380,1.02173,0.11722,1.95766
0.155,0.110,1.11989,0.11007,-45.36812
0.246,0.090,0.14176,0.00040,160.18900
0.136,0.300,1.09190,0.28548,-31.98001
0.120,0.370,0.37008,0.37008,-0.00105
0.256,0.490,1.43374,0.48660,0.85344
0.278,0.150,0.34719,0.06122,14.56000
0.211,0.080,1.23106,0.00038,-58.45506
0.186,0.170,1.89283,0.13975,-13.18353
0.185,0.490,1.80679,0.05738,-10.91841
0.244,0.170,0.32313,0.08206,49.79100
0.111,0.290,-1.00000,-1.00000,0.00000
0.135,0.070,2.26611,0.07006,-8.54785
0.260,0.080,0.21867,0.03060,35.53700
0.229,0.220,1.31132,0.19682,-26.06118
0.139,0.410,0.41008,0.27332,0.00473
0.278,0.420,1.03367,0.32450,-54.70013
0.169,0.500,0.50009,0.21236,0.01147
0.177,0.330,1.96727,0.28848,-11.98707
0.203,0.080,1.43448,0.01590,-29.03360
0.120,0.300,0.30008,0.27616,0.00396
0.132,0.150,1.92553,0.02220,-10.07572
0.187,0.090,1.63938,0.01018,-27.34955
0.104,0.150,0.31263,0.14683,0.00412
0.279,0.330,1.26004,0.21750,-55.01271
0.092,0.380,-1.00000,-1.00000,0.00000
0.115,0.260,0.29327,0.24640,0.00397
0.197,0.470,0.92675,0.08196,0.53370
0.204,0.140,1.27790,0.06162,-30.01808
0.164,0.090,1.56651,0.09007,-13.24055
0.134,0.080,2.22369,0.08006,-8.72595
0.288,0.290,0.43205,0.22388,-85.03208
0.229,0.180,0.28855,0.11208,-43.15018
0.119,0.260,0.34041,0.24748,0.00537
0.203,0.460,0.85644,0.23386,0.11887
0.260,0.480,1.19458,0.25694,-15.60425
0.292,0.360,1.31185,0.30043,-31.11247
0.126,0.180,1.12499,0.13969,37.42225
0.136,0.330,0.41276,0.30280,0.01288
0.162,0.300,1.44892,0.03236,1.40825
0.098,0.390,-1.00000,-1.00000,0.00000
0.109,0.280,0.28008,0.28008,-0.00027
0.104,0.400,0.40008,0.40008,-0.00253
0.294,0.160,0.32597,0.02307,-789.12078
0.121,0.200,2.06699,0.16940,0.19939
0.095,0.350,-1.00000,-1.00000,0.00000
0.287,0.100,0.33108,0.02362,-506.43957
0.272,0.410,1.09893,0.38477,-36.98910
0.262,0.270,0.39351,0.24855,0.53000
0.197,0.320,1.21595,0.31802,-21.50702
0.161,0.220,0.82928,0.21801,0.83546
0.128,0.100,1.06588,0.10007,-41.11720
0.154,0.180,0.92217,0.17865,1.39979
0.111,0.110,0.61508,0.10994,0.00834
0.154,0.400,1.07622,0.04699,-39.58476
0.248,0.500,1.71513,0.27286,-12.43270
0.146,0.050,1.11301,0.05006,-29.05510
0.112,0.110,0.63776,0.06109,0.02116
0.224,0.200,1.23606,0.15910,-34.35354
0.294,0.300,0.38627,0.23555,-89.44932
0.115,0.310,0.31008,0.28628,0.00122
0.103,0.080,0.37377,0.08006,0.00557
