#a_0,e_0,emax,emin,tcol
0.434,0.110,1.02541,0.04536,-23.58519
1.282,0.370,0.37729,0.35867,100000.00000
1.126,0.160,0.16459,0.14780,100000.00000
0.744,0.200,0.22247,0.17387,100000.00000
0.760,0.210,0.22895,0.18309,100000.00000
1.050,0.130,0.13497,0.11619,100000.00000
1.472,0.220,0.22313,0.21232,100000.00000
0.513,0.020,0.06558,0.00000,100000.00000
1.131,0.470,0.94026,0.44320,-1074.40208
0.577,0.490,1.41345,0.05094,-1.92917
0.381,0.500,2.49149,0.44123,0.30635
0.811,0.030,0.03719,0.00641,100000.00000
0.752,0.500,1.16247,0.39489,-14.86189
1.059,0.080,0.08430,0.06644,100000.00000
0.188,0.450,0.45082,0.45082,-0.00651
0.793,0.300,0.33719,0.27641,100000.00000
1.240,0.350,0.35728,0.33828,100000.00000
1.094,0.130,0.13452,0.11722,100000.00000
1.468,0.220,0.22316,0.21229,100000.00000
1.067,0.130,0.13477,0.11658,100000.00000
0.874,0.260,0.27391,0.23842,100000.00000
1.044,0.340,0.35393,0.32468,100000.00000
0.378,0.490,1.68049,0.42069,0.08109
0.804,0.150,0.16178,0.12696,100000.00000
1.266,0.250,0.25457,0.23969,100000.00000
0.794,0.100,0.10977,0.07609,100000.00000
0.696,0.070,0.08367,0.03821,100000.00000
0.561,0.070,0.10937,0.02091,100000.00000
0.738,0.290,1.04289,0.26295,-320.50852
0.888,0.290,0.31265,0.27081,100000.00000
0.497,0.040,0.10920,0.00001,100000.00000
0.966,0.420,0.96750,0.39258,-1347.20962
1.402,0.240,0.24357,0.23139,100000.00000
0.292,0.280,0.87076,0.24523,0.04042
0.541,0.500,1.30239,0.06855,-4.34383
0.573,0.250,1.05540,0.15774,-16.29678
0.631,0.420,1.01037,0.19191,-11.13925
0.769,0.090,0.10015,0.06443,100000.00000
0.331,0.180,1.03292,0.08297,0.04168
0.937,0.180,0.18802,0.16271,100000.00000
0.658,0.330,1.03488,0.22874,-87.46819
1.124,0.220,0.22552,0.20743,100000.00000
0.667,0.230,0.29178,0.13470,100000.00000
0.205,0.120,0.91376,0.11744,0.03157
0.283,0.030,1.08986,0.02598,0.03445
1.130,0.240,0.24590,0.22743,100000.00000
