#a_0,e_0,emax,emin,tcol
0.307,0.010,1.98781,0.01050,-1.35834
0.243,0.100,0.79561,0.08280,0.04486
0.437,0.190,0.78734,0.05903,0.31935
0.292,0.370,1.73387,0.25279,-0.69815
0.384,0.390,0.84539,0.26670,0.27139
0.920,0.370,0.98733,0.32330,-190.64039
0.280,0.170,1.10746,0.09797,-2.22036
0.705,0.470,1.16462,0.42195,-16.55399
0.838,0.350,0.97170,0.24405,-103.06733
0.465,0.230,-1.00000,-1.00000,0.00000
0.395,0.010,1.64762,0.00793,-1.02074
0.645,0.460,0.99454,0.22159,-15.34854
0.314,0.410,0.42806,0.10058,0.12138
1.154,0.470,0.94352,0.40891,-522.84050
0.411,0.320,1.09931,0.22335,-2.14834
0.691,0.420,1.04104,0.03574,-22.86623
0.393,0.140,1.08704,0.08499,-1.50138
0.816,0.500,1.08389,0.30230,-6.85953
0.304,0.300,0.45482,0.02124,0.28061
0.781,0.380,0.94610,0.29155,-39.84014
0.329,0.120,0.99997,0.02098,0.15449
1.002,0.440,0.98194,0.34936,-388.01544
1.365,0.050,0.08808,0.04020,100000.00000
0.938,0.020,0.07844,0.00324,100000.00000
1.391,0.080,0.11695,0.06999,100000.00000
0.817,0.000,0.07307,0.00001,100000.00000
1.397,0.080,0.11679,0.07006,100000.00000
0.456,0.490,0.49073,0.21527,0.18590
0.625,0.010,0.11079,0.00003,100000.00000
0.289,0.050,1.15538,0.01666,0.40445
0.445,0.400,1.03521,0.29121,-2.30590
0.551,0.440,1.06538,0.07208,0.27494
0.326,0.500,1.24358,0.46199,-0.93418
0.244,0.390,3.23159,0.34931,-0.57049
0.609,0.270,0.96803,0.17129,-28.21248
0.566,0.340,1.16902,0.28982,-11.22367
0.707,0.390,1.29103,0.33751,-26.55050
0.686,0.040,0.12183,0.00219,100000.00000
1.154,0.130,0.17441,0.11543,100000.00000
1.201,0.130,0.17264,0.11647,100000.00000
1.366,0.130,0.16736,0.11912,100000.00000
0.387,0.070,1.04770,0.00748,-7.83585
0.815,0.410,0.97134,0.33979,-66.36390
0.692,0.460,0.94836,0.27970,-11.92646
1.147,0.460,0.94242,0.41540,-313.08318
0.762,0.430,1.02523,0.38012,-5.84582
0.512,0.250,0.98998,0.06941,-8.74230
1.464,0.180,0.21582,0.16793,100000.00000
0.452,0.030,1.25634,0.01064,-5.88873
1.170,0.150,0.19373,0.13546,100000.00000
1.036,0.150,0.19951,0.13159,100000.00000
1.230,0.180,0.22150,0.16627,100000.00000
0.473,0.250,1.28208,0.20090,-1.18445
1.231,0.490,0.93085,0.45543,-604.58718
1.328,0.230,0.26839,0.21732,100000.00000
0.450,0.010,1.04865,0.00465,-14.61212
1.155,0.460,0.95530,0.39274,-1062.03008
0.510,0.000,1.10997,0.00049,-276.66350
1.408,0.260,0.29622,0.24815,100000.00000
0.380,0.250,2.50744,0.15350,-0.65346
1.316,0.280,0.31881,0.26603,100000.00000
1.013,0.310,0.36931,0.28300,100000.00000
0.252,0.130,0.75979,0.10953,0.07754
1.135,0.340,0.38557,0.31773,100000.00000
1.410,0.390,0.42665,0.37444,100000.00000
1.200,0.060,0.10189,0.04657,100000.00000
1.228,0.050,0.09246,0.03834,100000.00000
1.306,0.040,0.08011,0.02978,100000.00000
1.487,0.050,0.08494,0.04102,100000.00000
1.036,0.110,0.15976,0.09256,100000.00000
1.434,0.070,0.10592,0.06059,100000.00000
0.800,0.150,0.21640,0.11650,100000.00000
0.518,0.440,1.18105,0.10766,-5.28989
1.193,0.010,0.05627,0.00067,100000.00000
0.800,0.060,0.12666,0.03251,100000.00000
1.227,0.200,0.24231,0.18579,100000.00000
1.146,0.450,0.91012,0.40283,-2551.99011
0.437,0.180,24.19543,0.04702,-0.41069
1.448,0.230,0.26557,0.21926,100000.00000
0.763,0.150,0.21973,0.11276,100000.00000
1.448,0.340,0.37529,0.32716,100000.00000
