#a_0,e_0,emax,emin,tcol
0.505,0.450,1.23829,0.00930,2.95005
0.238,0.180,0.91515,0.17181,0.03378
0.397,0.430,0.79895,0.06293,0.08377
0.589,0.250,0.37584,0.15637,27.73300
0.234,0.420,0.42010,0.42010,-0.00381
0.511,0.160,1.34030,0.11745,-47.72572
0.313,0.190,0.88694,0.11178,0.03947
0.550,0.200,0.29044,0.13780,1.20500
0.595,0.420,1.55192,0.02003,7.82643
0.435,0.500,2.14226,0.28120,0.08596
0.351,0.410,0.75375,0.23561,0.55486
0.403,0.440,0.65979,0.15183,0.08047
0.527,0.400,1.17061,0.15247,-37.14204
0.602,0.320,1.08180,0.25803,-69.88193
0.209,0.160,0.93445,0.15635,0.03431
0.570,0.200,0.24148,0.10730,-80.83136
0.201,0.270,0.27009,0.27009,-0.00226
0.588,0.350,0.99734,0.09732,-53.31065
0.443,0.320,1.31888,0.01592,-26.32276
0.332,0.050,1.37756,0.02622,-19.45180
0.250,0.140,0.86098,0.12408,0.03195
0.342,0.500,0.59704,0.42667,0.10585
0.192,0.430,0.43010,0.43010,-0.00632
0.447,0.200,1.46861,0.04689,-19.53219
0.184,0.240,-1.00000,-1.00000,0.00000
0.589,0.120,0.26971,0.01741,-95.02023
0.593,0.480,1.24770,0.21246,-36.23929
0.269,0.140,0.91490,0.11041,0.03310
0.520,0.020,0.35431,0.00009,-520.68404
0.593,0.280,1.16570,0.18925,-52.72198
0.235,0.110,0.88526,0.10206,0.03033
0.323,0.190,0.93751,0.10112,0.04173
0.293,0.040,1.03123,0.02943,0.03573
0.242,0.390,0.39010,0.39010,-0.00140
0.536,0.350,1.02401,0.01293,-54.95575
0.575,0.160,1.23033,0.09758,-98.40587
0.578,0.460,1.11749,0.20449,-41.72275
0.312,0.400,0.83129,0.15716,0.11006
0.231,0.390,0.39010,0.39010,-0.00310
0.464,0.170,1.10370,0.09777,-46.24403
0.304,0.230,0.91623,0.16485,0.03862
0.322,0.090,1.32114,0.04148,0.04675
0.573,0.280,1.04051,0.03446,-103.21076
0.189,0.260,-1.00000,-1.00000,0.00000
0.562,0.190,0.24159,0.09115,1.24800
0.275,0.170,0.95386,0.13370,0.03431
0.338,0.160,1.38886,0.05889,0.05295
0.285,0.450,0.64291,0.44639,0.10317
0.284,0.280,0.88441,0.25510,0.04036
0.433,0.090,1.52371,0.03016,-21.32951
0.369,0.100,0.70412,0.01197,0.59693
0.200,0.160,0.89459,0.15726,0.03560
0.477,0.380,1.88942,0.05483,-13.19368
0.378,0.290,1.03563,0.11317,77.82520
0.472,0.270,1.51543,0.12626,-36.90626
0.223,0.260,0.98826,0.25617,0.04477
0.399,0.330,0.98799,0.11836,0.20991
0.262,0.010,0.71478,0.01007,0.03165
0.406,0.090,1.34343,0.01753,-21.91439
0.484,0.280,1.12329,0.00683,-47.37615
0.239,0.410,0.41010,0.41010,-0.00298
0.188,0.180,0.94165,0.17876,0.04066
0.197,0.290,-1.00000,-1.00000,0.00000
0.227,0.450,-1.00000,-1.00000,0.00000
0.331,0.040,1.35002,0.02138,-20.34371
0.191,0.460,-1.00000,-1.00000,0.00000
0.345,0.100,1.14378,0.02668,-35.43466
0.496,0.180,1.08012,0.08373,-58.29769
0.267,0.280,0.98577,0.26983,0.04085
0.280,0.090,0.91756,0.06308,0.03388
0.589,0.140,0.27621,0.08393,9.82500
0.529,0.270,1.17112,0.12066,-54.61205
0.180,0.370,-1.00000,-1.00000,0.00000
0.319,0.480,0.61250,0.31892,0.10472
0.424,0.370,1.00915,0.01203,1.12216
0.521,0.400,1.55285,0.07023,-19.89527
0.478,0.260,1.04608,0.02018,-89.27419
0.250,0.470,0.47011,0.47011,-0.00395
0.406,0.310,1.70642,0.04063,-22.86863
0.446,0.470,1.70148,0.15579,0.08681
0.493,0.330,1.43632,0.14282,-27.28581
0.545,0.140,0.65424,0.08869,-65.98901
0.305,0.190,0.81794,0.12060,0.03819
0.289,0.080,1.12198,0.05207,0.03536
0.203,0.120,0.87734,0.11715,0.03179
0.375,0.170,1.20138,0.01299,-30.63669
0.565,0.050,1.06680,0.00499,-110.66645
0.361,0.470,1.18755,0.41704,0.07555
0.530,0.290,1.16664,0.19716,-46.09340
0.413,0.360,1.40994,0.07543,-20.04282
0.368,0.220,2.05899,0.05619,-24.54881
0.542,0.400,1.16055,0.19227,-33.56313
0.328,0.270,0.90738,0.17855,0.04299
0.433,0.390,1.25396,0.02172,-25.37788
0.305,0.040,0.98578,0.02661,0.04198
0.425,0.310,1.04581,0.00459,1.17314
0.579,0.070,1.46633,0.00147,-116.98587
0.524,0.320,0.82500,0.08071,10.51100
0.434,0.010,1.34159,0.00502,-35.11527
0.216,0.460,0.46010,0.46010,-0.00553
0.449,0.390,1.15688,0.01479,-34.33386
0.387,0.230,1.03886,0.02875,-71.35865
0.573,0.110,0.23572,0.00498,-148.75448
0.413,0.070,1.16253,0.01833,-44.11596
0.564,0.230,1.39967,0.13640,-645.70812
0.453,0.140,1.00529,0.01640,-218.28843
0.310,0.320,0.88041,0.27675,0.04448
0.464,0.450,1.06026,0.05447,-60.07641
0.555,0.410,1.06225,0.05586,-67.16824
0.584,0.440,1.03740,0.02805,-35.69860
0.586,0.000,0.28448,0.00007,-171.95904
0.271,0.340,0.93222,0.33440,0.05167
0.572,0.370,1.31342,0.24694,-34.63561
0.536,0.500,0.86112,0.06036,1.12077
0.602,0.080,0.31875,0.00031,-324.05491
0.446,0.050,1.24985,0.01459,-188.13352
0.555,0.150,0.22129,0.04666,1.24400
0.451,0.310,1.55305,0.04687,-16.91774
0.584,0.430,1.07349,0.00962,-68.36823
0.423,0.440,0.97491,0.12801,0.08310
0.435,0.320,1.46424,0.01068,-26.00714
0.439,0.190,1.15061,0.08131,-37.43858
0.526,0.200,1.61209,0.11414,-26.06915
0.344,0.300,1.20023,0.19172,0.04571
0.383,0.310,2.04288,0.12969,-13.03440
0.363,0.010,0.99697,0.00818,1.58758
0.231,0.500,-1.00000,-1.00000,0.00000
0.212,0.480,0.48011,0.48011,-0.00582
0.378,0.020,1.06036,0.01295,-64.36424
0.320,0.230,1.23281,0.14207,0.04056
0.392,0.100,1.15365,0.01369,-38.00255
0.554,0.430,1.49721,0.18864,-31.13469
0.590,0.230,1.02198,0.19446,-128.73511
0.206,0.210,0.94603,0.20698,0.04040
0.229,0.060,0.81432,0.05663,0.02861
0.276,0.240,1.00196,0.21248,0.03717
0.323,0.360,1.21239,0.32021,0.05021
0.391,0.250,0.95221,0.03412,0.27744
0.484,0.360,1.35828,0.02056,-20.46642
0.493,0.220,1.22544,0.00099,-38.69788
0.345,0.130,1.39532,0.03678,-18.77013
0.182,0.500,-1.00000,-1.00000,0.00000
0.372,0.030,1.39689,0.01103,-26.18736
0.417,0.430,0.80502,0.09310,0.08434
0.430,0.490,1.45619,0.26301,0.08135
0.550,0.370,1.23677,0.09947,-39.54806
0.539,0.160,1.15179,0.12574,-102.81396
0.519,0.290,1.13042,0.01839,-60.37457
0.184,0.070,0.85701,0.07008,0.03000
0.408,0.050,1.00788,0.00267,10.11045
0.369,0.070,1.03779,0.01668,-152.63230
0.217,0.030,0.84518,0.03007,0.02717
0.592,0.260,1.03979,0.15759,-105.28464
0.384,0.000,1.08908,0.00007,-60.11865
0.333,0.430,0.55161,0.38543,0.07075
0.600,0.220,1.39338,0.03584,-223.36946
0.474,0.370,1.04768,0.06267,-90.81612
0.300,0.200,0.98034,0.13653,0.03742
0.469,0.300,1.42394,0.11146,-25.75146
