#a_0,e_0,emax,emin,tcol
0.109,0.290,0.29019,0.29019,-0.00414
0.186,0.320,0.99748,0.30031,0.04126
0.306,0.400,0.89378,0.15740,0.53424
0.113,0.250,-1.00000,-1.00000,0.00000
0.137,0.040,0.62361,0.04015,0.01818
0.126,0.270,0.27019,0.27019,-0.00210
0.103,0.240,0.24018,0.24018,-0.00460
0.331,0.090,0.20526,0.02821,2.44100
0.205,0.360,1.30982,0.25571,1.32796
0.129,0.200,0.49870,0.06528,0.04067
0.107,0.180,-1.00000,-1.00000,0.00000
0.288,0.500,0.50022,0.11129,0.09281
0.131,0.010,0.59874,0.01015,0.01717
0.162,0.040,0.77551,0.03916,0.02226
0.251,0.220,1.79719,0.05255,-12.52734
0.211,0.410,0.97520,0.40125,0.05615
0.330,0.480,1.04032,0.30195,-13.72922
0.268,0.380,1.14523,0.17650,-27.96666
0.165,0.000,1.45655,0.00015,-18.70404
0.255,0.450,0.75175,0.15135,0.07563
0.152,0.070,0.62322,0.06767,0.02043
0.245,0.160,1.28421,0.00821,-22.83293
0.351,0.100,0.30592,0.03644,106.50500
0.284,0.160,0.29015,0.00670,16.85700
0.313,0.030,1.40356,0.00038,-99.83137
0.227,0.150,1.24473,0.01018,-22.23214
0.143,0.450,0.45021,0.45021,-0.00301
0.343,0.170,0.25131,0.06039,1.22700
0.274,0.420,1.52264,0.24443,-14.35800
0.167,0.110,1.51469,0.10363,-14.38132
0.286,0.270,1.83073,0.07528,-14.92934
0.211,0.380,0.39716,0.28839,0.05525
0.265,0.050,1.84250,0.00158,-54.42873
0.262,0.250,1.04023,0.00105,-76.82202
0.230,0.030,1.19987,0.00273,-56.34280
0.188,0.220,0.86364,0.05610,0.04697
0.230,0.280,1.04041,0.07891,0.06651
0.161,0.470,0.47022,0.47022,-0.00233
0.283,0.030,1.32504,0.00024,-258.05548
0.169,0.170,1.07101,0.16300,-38.91714
0.253,0.180,1.13872,0.00043,-94.87546
0.109,0.210,-1.00000,-1.00000,0.00000
0.185,0.300,0.85314,0.25555,0.03980
0.316,0.370,1.13703,0.12308,-31.57744
0.132,0.030,0.60777,0.03015,0.01773
0.222,0.360,0.44320,0.15523,0.05924
0.259,0.460,0.61526,0.31380,0.07331
0.315,0.020,0.36132,0.00012,14.62200
0.133,0.130,0.65532,0.12755,0.02225
0.352,0.150,0.31758,0.04956,80.98800
0.251,0.150,1.72625,0.00082,-65.23482
0.223,0.150,0.70828,0.01227,0.38046
0.269,0.030,1.23224,0.00015,-484.25697
0.326,0.290,1.15446,0.09488,-134.79035
0.212,0.340,0.90518,0.22994,0.13391
0.213,0.200,1.06561,0.01865,-41.72687
0.294,0.030,0.31383,0.00006,-339.43877
0.294,0.240,1.24658,0.00028,-35.17343
0.219,0.180,1.33664,0.02609,-18.25626
0.158,0.500,0.50022,0.50022,-0.00279
0.122,0.090,0.64933,0.09016,0.02037
0.324,0.350,1.01959,0.21579,-21.67497
0.335,0.250,0.25416,0.15122,1.63900
0.144,0.210,0.70419,0.20588,0.12942
0.168,0.240,0.78849,0.03222,0.04515
0.243,0.390,1.48847,0.24735,-14.93233
0.218,0.500,1.79082,0.49493,-10.56138
0.305,0.040,0.96833,0.00096,16.42969
0.194,0.490,0.70200,0.48521,0.10724
0.116,0.110,0.65934,0.11016,0.02284
0.122,0.160,0.51981,0.15806,0.02883
0.127,0.040,0.65971,0.04015,0.01788
0.324,0.080,0.36073,0.00140,9.65500
0.305,0.210,0.33093,0.08979,9.61600
0.319,0.030,0.48917,0.00057,87.34400
0.154,0.030,0.59730,0.03015,0.02003
0.219,0.420,0.99498,0.39336,0.05863
0.120,0.200,0.20018,0.20018,-0.00112
0.247,0.400,1.18751,0.25908,-23.79532
0.284,0.320,1.15028,0.11663,-30.54875
0.105,0.440,-1.00000,-1.00000,0.00000
0.176,0.480,0.48022,0.48022,-0.00149
0.327,0.470,0.98814,0.28451,2.58706
0.126,0.230,0.23018,0.23018,-0.00040
0.328,0.230,1.16316,0.08216,-42.78558
0.103,0.330,0.33020,0.33020,-0.00453
0.324,0.170,0.31338,0.01654,-63.33688
0.306,0.020,1.58125,0.00083,-87.87748
0.261,0.130,1.11364,0.00039,193.49185
0.251,0.360,1.48830,0.18259,-27.48094
0.236,0.410,1.47780,0.04579,0.32010
0.114,0.160,-1.00000,-1.00000,0.00000
0.291,0.000,1.66111,0.00015,-292.12778
0.311,0.080,0.14164,0.00459,12.35200
0.217,0.190,1.72990,0.02866,-12.27954
0.256,0.160,1.04694,0.00191,-65.59933
0.153,0.040,0.72097,0.04015,0.01994
0.224,0.170,0.57384,0.01394,0.20451
0.274,0.290,1.02860,0.12150,-141.80774
0.165,0.270,0.69564,0.26499,0.03792
0.139,0.050,0.59078,0.05016,0.01861
0.155,0.490,0.49022,0.49022,-0.00282
0.344,0.390,1.13185,0.26154,-35.76684
0.244,0.240,0.46738,0.06648,0.26000
0.148,0.030,0.55361,0.03015,0.01911
0.181,0.140,1.44380,0.12336,0.37119
0.160,0.270,0.65357,0.26516,0.03753
0.130,0.020,0.63229,0.02015,0.01735
0.143,0.300,0.56697,0.27744,0.04827
0.102,0.450,0.45021,0.45021,-0.00430
0.351,0.320,1.23344,0.14317,-40.18257
0.146,0.230,0.52601,0.10129,0.04216
0.335,0.500,1.17906,0.32878,-25.45690
0.101,0.260,0.26019,0.26019,-0.00478
0.278,0.260,1.12623,0.07889,-43.97006
0.136,0.350,0.35020,0.35020,-0.00239
0.342,0.220,0.35897,0.05474,2.52500
0.202,0.170,0.87543,0.06369,0.22237
0.125,0.420,-1.00000,-1.00000,0.00000
0.344,0.240,1.24805,0.13306,-28.89958
0.228,0.270,1.20520,0.06082,0.06981
0.141,0.430,0.43021,0.43021,-0.00296
0.252,0.490,2.31298,0.45069,-8.86932
0.122,0.280,0.28019,0.28019,-0.00285
0.159,0.490,0.49022,0.49022,-0.00266
0.200,0.180,1.70761,0.06236,-14.36364
0.319,0.080,0.16440,0.00310,-40.19733
0.351,0.170,0.38307,0.03680,-240.20043
0.228,0.190,1.59837,0.00686,-14.11436
0.348,0.350,1.14518,0.12994,-56.48594
0.236,0.280,1.18660,0.08172,-25.07875
0.331,0.170,1.26470,0.01710,-59.62082
0.197,0.400,0.81193,0.39469,0.05495
0.246,0.030,0.53084,0.00023,571.21700
0.345,0.140,0.24751,0.06691,4.20100
0.229,0.010,1.33567,0.01015,-24.64404
0.205,0.440,0.53837,0.23208,0.06933
0.185,0.230,0.67273,0.02398,0.04524
0.295,0.150,1.13697,0.01116,-83.72604
0.271,0.400,1.38037,0.20931,-16.66614
0.139,0.140,0.63398,0.13678,0.02267
0.310,0.250,1.41785,0.10799,-32.04165
0.156,0.040,0.75865,0.03996,0.02051
0.348,0.070,0.26720,0.00332,-233.02800
0.216,0.450,0.52098,0.29642,0.06973
0.120,0.120,0.64297,0.11938,0.02300
0.205,0.080,1.16541,0.05227,-25.67976
0.173,0.130,1.11658,0.12037,-30.02806
0.234,0.010,1.22162,0.01013,-25.80633
0.348,0.230,1.30301,0.11301,-33.48695
0.336,0.170,0.26822,0.03550,-65.20729
0.291,0.220,1.13729,0.00278,-50.20554
0.300,0.130,1.61421,0.00027,-135.66680
0.322,0.200,0.41052,0.06023,3.29200
0.267,0.470,1.51585,0.35474,0.07443
0.184,0.260,0.69346,0.13534,0.04078
0.154,0.390,-1.00000,-1.00000,0.00000
0.331,0.470,1.30049,0.15634,-20.01876
0.238,0.420,1.52359,0.32610,-13.51319
0.108,0.120,-1.00000,-1.00000,0.00000
0.182,0.430,1.03372,0.42513,0.07145
0.352,0.180,0.21099,0.04554,-861.19366
0.265,0.380,1.36870,0.14082,-17.75393
0.288,0.350,1.15962,0.17635,-31.08178
0.181,0.280,0.69709,0.22127,0.03932
0.255,0.110,1.07654,0.00004,3057.89626
0.234,0.320,0.90243,0.13509,0.06279
0.318,0.040,0.30868,0.00089,26.33800
0.249,0.230,1.81590,0.05423,-14.33296
0.105,0.250,0.25018,0.25018,-0.00441
0.257,0.260,1.30825,0.08451,0.41781
0.208,0.460,1.23577,0.45483,0.07121
0.152,0.090,0.60598,0.08684,0.02101
0.248,0.280,1.08852,0.08617,-37.99071
0.133,0.000,0.68347,0.00015,0.01697
0.303,0.390,1.32941,0.14999,-22.01184
0.163,0.150,1.54730,0.14472,-13.88930
0.182,0.070,1.27678,0.06150,0.16896
0.199,0.160,0.69361,0.09481,0.15296
0.212,0.110,1.63702,0.00382,-13.21880
0.116,0.350,-1.00000,-1.00000,0.00000
0.253,0.440,1.93491,0.10707,-11.27582
0.227,0.020,1.05066,0.00535,-57.14690
0.290,0.240,0.29436,0.02675,-20.69483
0.327,0.250,0.32327,0.03050,-77.00324
0.247,0.250,1.28578,0.04922,-20.81141
0.256,0.020,1.64849,0.00019,-654.58082
0.269,0.040,1.02838,0.00030,-473.19626
0.199,0.420,1.71519,0.41476,-12.45868
0.350,0.400,1.11434,0.26827,-22.93786
0.182,0.160,0.62865,0.14251,0.11582
0.209,0.300,1.77288,0.15203,-11.59940
0.279,0.150,0.24715,0.00039,12.92500
0.275,0.340,1.08355,0.00736,-42.28284
0.319,0.500,1.25382,0.34359,-21.34589
0.116,0.430,-1.00000,-1.00000,0.00000
0.176,0.330,1.11013,0.32484,0.04330
0.331,0.080,0.27068,0.00025,-160.17175
0.162,0.330,1.06481,0.32522,0.11691
0.347,0.220,1.28371,0.09690,-67.26487
0.303,0.150,0.42980,0.03507,-48.09386
0.292,0.190,0.28241,0.02362,197.39800
0.240,0.140,1.22553,0.00327,-26.30125
0.289,0.320,1.29292,0.14464,-22.14264
0.205,0.000,0.61011,0.00015,0.19998
0.197,0.000,2.42816,0.00015,-38.84717
0.110,0.300,-1.00000,-1.00000,0.00000
0.300,0.020,0.22878,0.00055,86.75500
0.198,0.470,0.89404,0.46505,0.08320
0.219,0.280,1.50256,0.08784,-15.25114
0.233,0.220,1.45620,0.03240,-16.28620
0.153,0.440,-1.00000,-1.00000,0.00000
0.347,0.390,1.11336,0.06631,-29.94214
0.305,0.440,1.20434,0.26626,0.50220
0.263,0.190,1.11761,0.00083,-58.49722
0.117,0.180,-1.00000,-1.00000,0.00000
0.302,0.160,1.10989,0.00234,-570.57503
0.166,0.120,1.52129,0.11373,-14.27456
0.120,0.060,0.70302,0.06016,0.01886
0.334,0.280,0.28019,0.09636,0.96100
0.288,0.150,1.11027,0.02240,-3111.49363
0.305,0.480,1.18357,0.32211,-17.32642
0.214,0.220,1.40421,0.00341,0.17248
0.128,0.210,0.51117,0.20692,0.03560
0.172,0.170,0.91542,0.04488,1.06541
0.257,0.430,1.81235,0.06745,-11.59665
0.250,0.280,1.41693,0.04577,-17.61215
0.191,0.180,1.56779,0.15055,-13.80528
0.118,0.300,0.30019,0.30019,-0.00346
0.324,0.370,1.08347,0.22888,-42.83992
0.148,0.120,0.66967,0.11643,0.02172
0.147,0.210,0.70617,0.20573,0.18626
0.248,0.080,1.15056,0.00023,-232.59549
0.178,0.080,0.88170,0.07168,0.72800
0.100,0.270,-1.00000,-1.00000,0.00000
0.237,0.130,1.29069,0.00318,-25.39672
0.240,0.090,1.29443,0.00123,-40.87163
0.282,0.160,0.19522,0.00068,9.03100
0.186,0.180,1.48970,0.15861,-15.96370
0.122,0.340,0.34020,0.34020,-0.00342
0.351,0.260,1.66957,0.18413,-25.43898
0.325,0.250,0.27337,0.02059,-53.06258
0.350,0.460,1.08572,0.30515,-50.58364
0.313,0.430,1.40583,0.16852,-17.25534
0.177,0.230,0.79574,0.10126,0.04829
0.280,0.410,1.32506,0.04623,-17.74814
0.175,0.360,0.50351,0.35498,0.05142
0.254,0.100,1.24672,0.00004,-4486.22827
0.281,0.140,1.57726,0.00039,-50.97213
0.136,0.330,0.33020,0.33020,-0.00201
0.280,0.450,1.05079,0.29538,-22.94790
0.129,0.300,-1.00000,-1.00000,0.00000
0.171,0.380,1.07061,0.37515,0.05679
0.332,0.000,1.10471,0.00015,-81.12724
0.271,0.130,0.26899,0.00174,12.74000
0.198,0.260,0.76069,0.09899,0.04264
0.186,0.190,0.58492,0.09883,0.06940
0.214,0.060,1.58938,0.02807,0.31166
0.174,0.190,0.93317,0.18201,0.15874
0.192,0.050,0.84624,0.04202,0.52717
0.325,0.310,1.13154,0.19702,-81.37020
0.129,0.250,-1.00000,-1.00000,0.00000
0.251,0.370,1.66458,0.19843,-13.66018
0.320,0.290,0.33579,0.17923,0.34700
0.244,0.490,2.01397,0.47753,-9.73567
