#a_0,e_0,emax,emin,tcol
0.354,0.410,0.47065,0.19881,0.20779
0.251,0.380,0.38006,0.38006,-0.00663
0.573,0.470,2.10300,0.02473,1.62950
0.403,0.210,1.65177,0.02986,-21.23120
0.371,0.140,1.27063,0.01124,-35.91785
0.328,0.300,0.96318,0.17083,0.11432
0.418,0.010,1.52226,0.00123,-171.79283
0.406,0.260,2.09398,0.11449,-15.56755
0.297,0.130,1.59685,0.09853,0.55230
0.329,0.240,1.86539,0.02149,0.12652
0.636,0.500,1.08761,0.12393,-61.63093
0.486,0.420,1.28014,0.12249,-28.45993
0.571,0.270,1.08687,0.20219,-104.68404
0.263,0.340,0.34006,0.34006,-0.00126
0.567,0.240,1.16675,0.17991,-140.75953
0.385,0.070,1.13302,0.00574,-113.06577
0.599,0.220,0.40333,0.03945,-376.04169
0.419,0.060,1.20962,0.00018,-667.17806
0.608,0.240,1.01772,0.12397,-379.25441
0.304,0.160,1.14755,0.12334,-41.31420
0.619,0.370,1.16167,0.18680,-180.49079
0.563,0.360,1.14979,0.23257,-56.03299
0.509,0.300,1.49522,0.20771,-26.12618
0.477,0.100,1.11175,0.00268,-197.55589
0.619,0.480,1.38399,0.32135,-29.19245
0.363,0.250,2.30356,0.09185,-12.74198
0.310,0.150,1.69646,0.11145,-27.47717
0.261,0.330,0.33006,0.33006,-0.00018
0.225,0.140,0.49571,0.11347,0.05186
0.747,0.440,0.99880,0.31925,-159.06427
0.487,0.290,1.45246,0.01322,14.56625
0.562,0.370,1.06420,0.24130,-175.77024
0.518,0.420,1.65033,0.10894,3.38828
0.283,0.150,2.45236,0.11985,-12.27785
0.310,0.270,3.27425,0.14003,0.14282
0.731,0.020,0.04520,0.00058,21.27500
0.724,0.120,0.32862,0.00051,2025.92000
0.426,0.260,1.72458,0.10437,0.69877
0.676,0.410,1.01576,0.28368,-193.66164
0.703,0.060,0.10948,0.00087,559.53500
0.280,0.210,0.59181,0.17810,0.07888
0.284,0.270,1.18007,0.23624,-33.26014
0.666,0.330,0.37095,0.20550,138.09000
0.268,0.130,0.42932,0.10372,0.06267
0.495,0.300,1.24084,0.14693,-36.73740
0.280,0.230,1.10453,0.19764,0.84191
0.361,0.100,1.72812,0.01530,-17.73174
0.663,0.480,1.13539,0.39292,-60.70920
0.359,0.200,0.84415,0.03090,0.25572
0.457,0.440,2.24724,0.30644,0.20379
0.699,0.120,0.67171,0.01297,1038.25000
0.744,0.100,0.25843,0.00746,438.63200
0.715,0.280,0.30643,0.13387,-259.77063
0.716,0.250,1.28603,0.14138,-79.90431
0.680,0.210,0.32669,0.06256,355.90500
0.271,0.470,0.47006,0.47006,-0.00747
0.237,0.200,0.51241,0.16951,0.05993
0.675,0.180,0.18080,0.13541,16.52300
0.327,0.080,0.76890,0.04968,1.10719
0.745,0.350,1.05797,0.29401,-274.35825
0.413,0.180,1.14281,0.03963,-46.88258
0.597,0.160,0.31955,0.03570,-2415.25078
0.625,0.270,1.17297,0.11769,-395.87600
0.388,0.450,0.59912,0.39448,0.15490
0.600,0.290,1.05388,0.16657,-117.11065
0.610,0.130,0.28754,0.00372,1754.25400
0.695,0.140,0.27713,0.09893,-1017.38724
0.676,0.280,0.47869,0.11391,-869.00097
0.570,0.470,1.02434,0.23455,-206.48100
0.269,0.340,1.31484,0.20591,-24.04469
0.488,0.320,1.54086,0.19662,-29.75832
0.454,0.160,1.52818,0.02224,-37.95961
0.735,0.160,1.06517,0.06277,-511.77927
0.395,0.470,0.69932,0.42332,0.16163
0.523,0.460,0.94033,0.23793,8.84249
0.380,0.230,1.84397,0.05294,-16.40360
0.745,0.290,0.36530,0.11682,-592.27620
0.774,0.060,0.34825,0.02323,727.42300
0.623,0.090,0.25681,0.00021,6034.26100
0.360,0.080,1.51048,0.00943,0.36860
0.223,0.150,0.50006,0.12228,0.05250
0.726,0.350,1.08888,0.21067,-303.33676
0.512,0.460,1.17517,0.14933,-37.91728
0.416,0.290,1.85167,0.02102,2.24337
0.716,0.470,0.47062,0.12115,-235.84231
0.589,0.460,2.05112,0.12091,-25.77422
0.449,0.250,1.78170,0.04158,-21.22411
0.768,0.040,0.50466,0.00335,1063.24700
0.507,0.470,0.91064,0.35667,3.73444
0.276,0.060,0.46694,0.04454,0.06429
