#a_0,e_0,emax,emin,tcol
0.403,0.400,0.86422,0.37063,0.22372
0.316,0.230,1.04680,0.20458,-2.76893
0.300,0.170,1.04020,0.14846,0.45143
0.364,0.020,0.63308,0.01853,0.82545
0.238,0.060,0.56012,0.04878,0.07788
0.894,0.440,0.96558,0.05126,-48.47450
0.233,0.290,0.29138,0.29138,-0.01031
0.786,0.460,0.97696,0.01968,-25.41158
0.703,0.290,1.09882,0.06520,-17.61419
0.379,0.070,1.27315,0.05713,-4.99770
0.355,0.480,-1.00000,-1.00000,0.00000
0.380,0.220,2.10900,0.04442,-1.04548
0.928,0.260,0.97076,0.18855,-322.41380
0.962,0.400,0.98409,0.28762,-338.73854
0.703,0.310,1.03242,0.21298,-17.75930
1.061,0.400,0.92652,0.32725,-162.22899
0.698,0.440,1.15235,0.11577,-3.11693
0.678,0.150,0.98968,0.05090,-125.68371
0.614,0.150,1.35032,0.02834,-17.90395
0.225,0.060,0.59183,0.04901,0.07832
1.079,0.390,0.94223,0.32135,-153.63334
1.147,0.380,0.92417,0.31507,-6610.55551
0.366,0.410,0.99642,0.37670,0.23628
1.255,0.020,0.05247,0.00001,100000.00000
0.611,0.350,1.88824,0.09905,-25.43610
0.336,0.270,0.66725,0.22085,0.17210
1.421,0.040,0.06461,0.01906,100000.00000
1.298,0.060,0.08574,0.03480,100000.00000
0.821,0.290,0.99302,0.16022,-116.34136
1.378,0.100,0.12307,0.07550,100000.00000
1.090,0.100,0.12953,0.06483,100000.00000
1.304,0.130,0.15403,0.10271,100000.00000
1.047,0.100,0.13086,0.06232,100000.00000
0.446,0.500,0.69662,0.46705,0.32981
0.589,0.470,0.47157,0.25492,0.36755
0.636,0.240,1.07741,0.02290,-15.76146
0.445,0.280,0.32842,0.18842,0.24217
0.612,0.140,0.94566,0.01916,-15.32818
1.350,0.150,0.17307,0.12369,100000.00000
1.193,0.480,0.96456,0.33526,-516.61122
1.415,0.150,0.17200,0.12545,100000.00000
0.741,0.130,0.17318,0.03946,100000.00000
0.410,0.040,0.39684,0.03241,0.26840
0.574,0.100,1.39118,0.02680,-19.27341
1.338,0.440,0.90429,0.39213,-5608.27059
1.113,0.200,0.22756,0.16181,100000.00000
0.632,0.090,1.11069,0.00005,-2911.05129
1.139,0.240,0.26700,0.20061,100000.00000
0.438,0.440,1.06571,0.32630,-14.12953
0.421,0.360,0.43445,0.33391,0.21686
0.679,0.260,1.09260,0.08940,-18.64138
1.233,0.250,0.27475,0.21610,100000.00000
1.188,0.260,0.28539,0.22300,100000.00000
0.648,0.400,0.99128,0.26766,-7.07731
1.194,0.280,0.31372,0.24196,100000.00000
0.986,0.280,0.30827,0.22046,100000.00000
1.073,0.390,0.92410,0.31490,-357.60864
1.284,0.450,0.89297,0.38427,-1065.27670
1.108,0.310,0.33690,0.26068,100000.00000
