#a_0,e_0,emax,emin,tcol
0.515,0.010,0.76357,0.01047,0.15397
1.382,0.470,0.96299,0.37360,-146.48096
1.433,0.490,0.92527,0.31550,-68.24232
1.309,0.440,0.93416,0.33071,-52.49796
0.513,0.100,0.83256,0.10051,0.13496
0.891,0.250,0.98306,0.14429,-16.55303
0.373,0.300,1.45976,0.30060,-1.47374
0.371,0.410,2.20125,0.41065,-3.77133
0.925,0.420,1.38640,0.00987,-11.30434
1.415,0.490,0.94079,0.39030,-44.05731
1.562,0.010,0.01916,0.00001,100000.00000
0.330,0.460,1.22720,0.46067,-0.86609
1.261,0.010,0.02366,0.00000,100000.00000
1.263,0.480,1.15346,0.37807,-11.58086
1.510,0.480,0.91589,0.41253,-60.19666
0.928,0.250,0.98047,0.14445,-58.57809
0.556,0.320,1.00669,0.32061,0.22649
1.494,0.030,0.04031,0.01166,100000.00000
1.334,0.030,0.04264,0.00621,100000.00000
1.716,0.080,0.08881,0.06681,100000.00000
1.409,0.090,0.10285,0.06959,100000.00000
1.799,0.120,0.12875,0.10821,100000.00000
0.430,0.010,1.01018,0.01047,0.10196
1.671,0.490,0.94629,0.42520,-1034.92470
0.864,0.090,0.15339,0.00008,100000.00000
0.940,0.130,0.17557,0.04391,100000.00000
1.013,0.280,1.02338,0.19287,-125.40921
1.033,0.300,0.93741,0.21294,-22.46958
1.100,0.130,0.15280,0.09146,100000.00000
0.582,0.290,0.87625,0.25968,0.23618
0.305,0.320,1.15831,0.32061,1.90348
1.205,0.410,1.04774,0.26834,-35.73920
1.842,0.240,0.25102,0.22843,100000.00000
0.397,0.500,1.13346,0.50069,-1.02560
0.723,0.050,1.01217,0.00323,-27.67806
1.598,0.270,0.28615,0.25333,100000.00000
1.153,0.350,0.92331,0.26424,-85.60102
0.631,0.270,0.91687,0.15572,0.24518
0.775,0.030,1.07268,0.00064,-56.40218
0.594,0.020,1.31906,0.02047,-3.59430
0.495,0.020,1.19332,0.02047,0.99787
1.347,0.260,0.28304,0.22844,100000.00000
1.357,0.470,0.96290,0.37327,-27.05153
1.742,0.280,0.29350,0.26636,100000.00000
0.951,0.180,0.93783,0.08473,-377.54843
1.956,0.320,0.33216,0.30911,100000.00000
1.406,0.310,0.33184,0.28313,100000.00000
1.195,0.360,0.92388,0.23734,-164.31278
1.688,0.340,0.35707,0.32338,100000.00000
0.484,0.060,1.43684,0.03690,-3.40002
1.024,0.330,1.10978,0.21255,-15.34242
0.920,0.460,1.06293,0.34295,-5.92466
1.667,0.340,0.35732,0.32260,100000.00000
1.726,0.390,0.40922,0.37170,100000.00000
0.809,0.220,1.01939,0.05102,-14.09347
1.327,0.000,0.02467,0.00001,100000.00000
1.448,0.000,0.02019,0.00000,100000.00000
1.519,0.440,0.93822,0.38318,-2224.90241
1.959,0.240,0.24988,0.23007,100000.00000
1.461,0.220,0.23852,0.20025,100000.00000
0.432,0.410,1.18922,0.41065,-1.70482
0.676,0.230,1.00222,0.01078,-24.89590
1.850,0.220,0.23046,0.20884,100000.00000
1.401,0.040,0.05179,0.01874,100000.00000
1.250,0.060,0.07514,0.03261,100000.00000
0.617,0.060,0.88943,0.03996,8.24331
1.899,0.500,0.52731,0.47302,100000.00000
1.134,0.420,1.06258,0.18151,-40.75543
1.767,0.020,0.02745,0.00712,100000.00000
1.963,0.180,0.18855,0.17028,100000.00000
0.553,0.060,1.13706,0.05700,0.15882
0.849,0.010,0.07373,0.00001,100000.00000
0.972,0.070,0.09568,0.01680,100000.00000
0.287,0.490,1.52440,0.49069,-0.59895
0.900,0.340,1.03830,0.07052,-9.06742
1.830,0.300,0.31300,0.28756,100000.00000
1.540,0.410,0.45410,0.37739,100000.00000
1.245,0.190,0.21050,0.16096,100000.00000
1.631,0.470,0.92472,0.41995,-16924.82447
1.497,0.350,0.37257,0.32443,100000.00000
0.630,0.070,1.76827,0.00509,-4.29537
1.431,0.390,0.42881,0.35334,100000.00000
0.434,0.490,0.99627,0.49069,-1.86963
0.341,0.030,0.63012,0.03047,0.12222
1.382,0.090,0.10334,0.06866,100000.00000
1.006,0.160,0.18719,0.10681,100000.00000
1.133,0.010,0.02775,0.00000,100000.00000
