#a_0,e_0,emax,emin,tcol
0.160,0.230,0.23098,0.23098,-0.00415
0.223,0.470,-1.00000,-1.00000,0.00000
0.421,0.200,1.21293,0.05094,-36.39614
0.306,0.110,1.37393,0.00444,-1.67020
0.485,0.320,0.99138,0.10867,-37.70906
0.317,0.000,1.01751,0.00080,-6.96538
0.605,0.380,0.98223,0.27858,-164.80987
0.539,0.500,1.71573,0.09047,3.55230
0.387,0.120,1.25751,0.00099,-21.31200
0.287,0.310,2.07204,0.21198,0.16809
1.419,0.000,0.01820,0.00000,100000.00000
0.273,0.000,0.47561,0.00080,0.13623
1.402,0.030,0.04013,0.01951,100000.00000
1.156,0.040,0.05203,0.02632,100000.00000
1.252,0.100,0.11067,0.08703,100000.00000
0.588,0.030,0.05859,0.00001,100000.00000
0.650,0.100,0.11989,0.06482,100000.00000
1.275,0.170,0.18019,0.15684,100000.00000
0.849,0.140,0.15499,0.11685,100000.00000
0.302,0.080,0.94674,0.02085,0.61693
1.344,0.200,0.20969,0.18756,100000.00000
0.770,0.170,0.18624,0.14207,100000.00000
0.523,0.340,1.03543,0.24337,-45.13943
0.247,0.390,1.25553,0.17334,-1.57205
1.500,0.270,0.27879,0.25884,100000.00000
0.258,0.250,0.90983,0.09632,0.08367
0.912,0.280,0.29537,0.25630,100000.00000
0.330,0.360,1.08734,0.25283,-3.58785
0.583,0.230,0.24923,0.17341,100000.00000
0.836,0.290,0.30461,0.26189,100000.00000
0.607,0.300,0.34714,0.23660,100000.00000
1.287,0.360,0.37008,0.34525,100000.00000
1.449,0.370,0.37906,0.35743,100000.00000
0.844,0.000,0.03298,0.00000,100000.00000
0.660,0.050,0.07153,0.01848,100000.00000
0.261,0.080,0.78575,0.05907,0.40487
0.807,0.420,0.43427,0.35809,100000.00000
1.127,0.460,0.47093,0.43774,100000.00000
1.418,0.230,0.23923,0.21823,100000.00000
1.226,0.480,0.49023,0.46016,100000.00000
1.330,0.210,0.21978,0.19734,100000.00000
0.278,0.400,0.45501,0.37076,0.09867
0.560,0.180,0.20182,0.12131,100000.00000
1.008,0.070,0.08317,0.05290,100000.00000
0.502,0.230,0.95467,0.14020,-128.11032
1.403,0.320,0.32927,0.30742,100000.00000
0.409,0.490,0.67710,0.39546,0.35503
0.308,0.100,0.95326,0.00122,1.78601
0.881,0.320,0.33387,0.29329,100000.00000
0.327,0.360,1.11443,0.25454,-2.24601
1.101,0.180,0.19164,0.16382,100000.00000
1.107,0.170,0.18178,0.15410,100000.00000
0.536,0.360,0.96550,0.22490,-29.45673
1.399,0.110,0.11943,0.09867,100000.00000
1.305,0.390,0.39994,0.37502,100000.00000
0.666,0.160,0.17861,0.12391,100000.00000
0.689,0.370,0.38454,0.30928,100000.00000
0.425,0.260,1.08877,0.01488,-20.40969
0.827,0.390,0.42091,0.35380,100000.00000
0.303,0.100,1.43209,0.00742,-1.44559
0.633,0.010,0.04637,0.00001,100000.00000
0.850,0.400,0.41353,0.36376,100000.00000
0.905,0.030,0.04638,0.01186,100000.00000
0.402,0.000,0.14028,0.00001,100000.00000
1.444,0.450,0.45913,0.43611,100000.00000
0.185,0.500,0.50119,0.50119,-0.00573
0.446,0.400,-1.00000,-1.00000,0.00000
0.435,0.440,1.11614,0.29793,-1.70025
0.598,0.260,0.32597,0.20470,100000.00000
1.088,0.490,0.50095,0.46313,100000.00000
1.132,0.260,0.27132,0.24370,100000.00000
1.202,0.170,0.18076,0.15578,100000.00000
0.628,0.010,0.04688,0.00001,100000.00000
0.736,0.010,0.03859,0.00001,100000.00000
0.975,0.440,0.45216,0.41058,100000.00000
0.781,0.140,0.15619,0.11345,100000.00000
0.298,0.190,0.39479,0.05215,0.12594
1.007,0.390,0.40221,0.36641,100000.00000
1.123,0.150,0.16146,0.13455,100000.00000
1.248,0.200,0.21036,0.18629,100000.00000
0.516,0.270,0.27459,0.20358,100000.00000
0.805,0.060,0.07686,0.03662,100000.00000
0.798,0.250,0.26536,0.22123,100000.00000
0.682,0.370,0.38509,0.30798,100000.00000
0.191,0.480,-1.00000,-1.00000,0.00000
1.175,0.450,0.46063,0.42984,100000.00000
1.343,0.220,0.22969,0.20744,100000.00000
1.221,0.260,0.27052,0.24536,100000.00000
1.356,0.020,0.03107,0.00968,100000.00000
0.993,0.030,0.04470,0.01397,100000.00000
0.637,0.000,0.04815,0.00001,100000.00000
0.356,0.370,1.93176,0.17247,-0.82670
1.481,0.110,0.11893,0.09940,100000.00000
0.660,0.080,0.10007,0.04665,100000.00000
