#mu,eb,a_crit
0.060,0.62,3.80
0.050,0.36,3.08
0.001,0.27,1.80
0.110,0.71,4.17
0.100,0.48,3.78
0.040,0.17,2.21
0.090,0.25,2.79
0.010,0.50,2.64
0.020,0.72,3.53
0.080,0.01,2.13
0.060,0.63,3.80
0.110,0.72,4.17
0.001,0.28,1.86
0.050,0.37,3.14
0.100,0.49,3.78
0.040,0.18,2.23
0.010,0.51,2.65
0.020,0.73,3.53
0.090,0.26,2.82
0.080,0.02,2.18
0.110,0.73,4.18
0.060,0.64,3.83
0.001,0.29,1.87
0.100,0.50,3.78
0.010,0.52,2.77
0.050,0.38,3.15
0.090,0.27,3.05
0.040,0.19,2.29
0.020,0.74,3.76
0.080,0.03,2.18
0.110,0.74,4.19
0.060,0.65,3.85
0.010,0.53,2.77
0.100,0.51,3.79
0.001,0.30,1.88
0.090,0.28,3.06
0.050,0.39,3.15
0.040,0.20,2.30
0.080,0.04,2.18
0.020,0.75,3.76
0.110,0.75,4.19
0.060,0.66,3.86
0.010,0.54,2.80
0.001,0.31,1.89
0.100,0.52,3.80
0.080,0.05,2.18
0.050,0.40,3.16
0.090,0.29,3.09
0.020,0.76,3.77
0.040,0.21,2.60
0.010,0.55,2.81
0.060,0.67,3.88
0.001,0.32,1.97
0.110,0.76,4.19
0.100,0.53,3.80
0.080,0.06,2.18
0.090,0.30,3.11
0.050,0.41,3.20
0.020,0.77,3.77
0.010,0.56,3.01
0.110,0.77,4.19
0.060,0.68,3.89
0.040,0.22,2.60
0.001,0.33,1.99
0.100,0.54,3.80
0.050,0.42,3.40
0.080,0.07,2.17
0.020,0.78,3.77
0.010,0.57,3.01
0.090,0.31,3.14
0.110,0.78,4.19
0.040,0.23,2.61
0.060,0.69,3.89
0.001,0.34,2.00
0.100,0.55,3.81
0.050,0.43,3.40
0.080,0.08,2.19
0.090,0.32,3.15
0.020,0.79,3.77
0.010,0.58,3.01
0.040,0.24,2.61
0.060,0.70,3.89
0.050,0.44,3.40
0.110,0.79,4.19
0.100,0.56,3.83
0.001,0.35,2.01
0.080,0.09,2.21
0.050,0.45,3.41
0.020,0.80,3.77
0.090,0.33,3.16
0.001,0.36,2.01
0.010,0.59,3.02
0.040,0.25,2.62
0.060,0.71,3.89
0.110,0.80,4.20
0.100,0.57,3.83
0.080,0.10,2.22
0.050,0.46,3.41
0.010,0.60,3.03
0.030,0.00,1.72
0.090,0.34,3.21
0.040,0.26,2.62
0.001,0.37,2.04
0.120,0.00,2.16
0.060,0.72,4.12
0.100,0.58,3.83
0.010,0.61,3.03
0.050,0.47,3.42
0.080,0.11,2.22
0.030,0.01,1.79
0.040,0.27,2.63
0.001,0.38,2.04
0.090,0.35,3.21
0.120,0.01,2.17
0.060,0.73,4.13
0.100,0.59,3.89
0.080,0.12,2.21
0.010,0.62,3.03
0.050,0.48,3.42
0.040,0.28,2.65
0.001,0.39,2.05
0.030,0.02,1.89
0.060,0.74,4.13
0.100,0.60,3.89
0.050,0.49,3.45
0.090,0.36,3.41
0.080,0.13,2.31
0.120,0.02,2.20
0.010,0.63,3.05
0.060,0.75,4.13
0.001,0.40,2.10
0.030,0.03,1.91
0.040,0.29,2.67
0.100,0.61,3.89
0.050,0.50,3.51
0.080,0.14,2.32
0.090,0.37,3.41
0.120,0.03,2.21
0.060,0.76,4.13
0.010,0.64,3.04
0.080,0.15,2.60
0.050,0.51,3.51
0.001,0.41,2.11
0.090,0.38,3.41
0.040,0.30,2.75
0.030,0.04,1.97
0.100,0.62,3.89
0.120,0.04,2.21
0.060,0.77,4.14
0.010,0.65,3.05
0.001,0.42,2.14
0.120,0.05,2.21
0.050,0.52,3.51
0.080,0.16,2.61
0.090,0.39,3.42
0.030,0.05,2.13
0.040,0.31,2.75
0.100,0.63,3.89
0.001,0.43,2.25
0.010,0.66,3.16
0.120,0.06,2.22
0.080,0.17,2.62
0.090,0.40,3.43
0.060,0.78,4.14
0.050,0.53,3.53
0.030,0.06,2.09
0.100,0.64,4.14
0.040,0.32,2.76
0.001,0.44,2.25
0.090,0.41,3.46
0.120,0.07,2.23
0.010,0.67,3.16
0.050,0.54,3.55
0.080,0.18,2.63
0.060,0.79,4.14
0.090,0.42,3.48
0.030,0.07,2.08
0.100,0.65,4.14
0.001,0.45,2.26
0.040,0.33,2.76
0.120,0.08,2.31
0.080,0.19,2.65
0.010,0.68,3.17
0.050,0.55,3.56
0.060,0.80,4.15
0.090,0.43,3.52
0.030,0.08,2.09
0.001,0.46,2.27
0.120,0.09,2.31
0.100,0.66,4.14
0.040,0.34,2.80
0.080,0.20,2.67
0.050,0.56,3.58
0.010,0.69,3.18
0.001,0.47,2.31
0.030,0.09,2.09
0.120,0.10,2.32
0.070,0.00,1.93
0.090,0.44,3.52
0.100,0.67,4.15
0.040,0.35,3.02
0.080,0.21,2.69
0.050,0.57,3.77
0.010,0.70,3.21
0.001,0.48,2.31
0.070,0.01,1.97
0.120,0.11,2.31
0.030,0.10,2.09
0.090,0.45,3.52
0.040,0.36,3.03
0.100,0.68,4.15
0.050,0.58,3.77
0.010,0.71,3.21
0.030,0.11,2.10
0.080,0.22,2.74
0.001,0.49,2.34
0.120,0.12,2.60
0.070,0.02,2.16
0.040,0.37,3.04
0.050,0.59,3.77
0.090,0.46,3.55
0.030,0.12,2.11
0.100,0.69,4.15
0.010,0.72,3.40
0.080,0.23,2.75
0.001,0.50,2.34
0.120,0.13,2.62
0.070,0.03,2.17
0.030,0.13,2.12
0.040,0.38,3.07
0.050,0.60,3.78
0.080,0.24,2.77
0.090,0.47,3.56
0.100,0.70,4.16
0.010,0.73,3.40
0.001,0.51,2.34
0.070,0.04,2.17
0.120,0.14,2.63
0.080,0.25,2.77
0.040,0.39,3.07
0.030,0.14,2.13
0.050,0.61,3.78
0.090,0.48,3.58
0.100,0.71,4.16
0.070,0.05,2.17
0.010,0.74,3.40
0.001,0.52,2.45
0.120,0.15,2.64
0.080,0.26,2.79
0.050,0.62,3.78
0.030,0.15,2.14
0.040,0.40,3.13
0.070,0.06,2.16
0.001,0.53,2.45
0.090,0.49,3.78
0.100,0.72,4.16
0.010,0.75,3.40
0.080,0.27,2.82
0.120,0.16,2.66
0.070,0.07,2.16
0.030,0.16,2.16
0.040,0.41,3.14
0.050,0.63,3.78
0.001,0.54,2.51
0.120,0.17,2.70
0.090,0.50,3.78
0.070,0.08,2.17
0.100,0.73,4.16
0.010,0.76,3.40
0.030,0.17,2.16
0.050,0.64,3.78
0.080,0.28,3.04
0.040,0.42,3.16
0.001,0.55,2.51
0.120,0.18,2.71
0.090,0.51,3.78
0.070,0.09,2.18
0.030,0.18,2.17
0.040,0.43,3.16
0.050,0.65,3.79
0.100,0.74,4.17
0.120,0.19,2.75
0.010,0.77,3.40
0.080,0.29,3.05
0.001,0.56,2.52
0.090,0.52,3.78
0.070,0.10,2.21
0.050,0.66,3.80
0.030,0.19,2.21
0.040,0.44,3.17
0.080,0.30,3.08
0.010,0.78,3.40
0.120,0.20,2.77
0.100,0.75,4.17
0.001,0.57,2.52
0.090,0.53,3.79
0.010,0.79,3.41
0.050,0.67,3.83
0.070,0.11,2.21
0.040,0.45,3.40
0.030,0.20,2.21
0.100,0.76,4.19
0.120,0.21,2.78
0.080,0.31,3.10
0.001,0.58,2.52
0.010,0.80,3.41
0.070,0.12,2.22
0.030,0.21,2.21
0.090,0.54,3.80
0.050,0.68,3.86
0.001,0.59,2.75
0.120,0.22,2.79
0.080,0.32,3.14
0.040,0.46,3.40
0.100,0.77,4.19
0.070,0.13,2.22
0.020,0.00,1.65
0.030,0.22,2.29
0.050,0.69,3.83
0.090,0.55,3.80
0.120,0.23,2.83
0.001,0.60,2.78
0.080,0.33,3.15
0.040,0.47,3.40
0.100,0.78,4.19
0.070,0.14,2.30
0.030,0.23,2.30
0.001,0.61,2.84
0.020,0.01,1.66
0.090,0.56,3.81
0.050,0.70,3.89
0.100,0.79,4.19
0.080,0.34,3.17
0.120,0.24,3.04
0.040,0.48,3.41
0.070,0.15,2.34
0.030,0.24,2.34
0.001,0.62,2.84
0.090,0.57,3.83
0.120,0.25,3.06
0.020,0.02,1.73
0.100,0.80,4.19
0.050,0.71,3.89
0.070,0.16,2.60
0.040,0.49,3.41
0.080,0.35,3.18
0.001,0.63,2.85
0.030,0.25,2.60
0.090,0.58,3.83
0.070,0.17,2.61
0.020,0.03,1.88
0.120,0.26,3.09
0.110,0.00,2.15
0.080,0.36,3.22
0.040,0.50,3.42
0.050,0.72,3.89
0.090,0.59,3.83
0.020,0.04,1.90
0.030,0.26,2.60
0.110,0.01,2.16
0.001,0.64,2.85
0.070,0.18,2.62
0.120,0.27,3.10
0.080,0.37,3.40
0.040,0.51,3.42
0.050,0.73,3.89
0.020,0.05,1.93
0.090,0.60,3.86
0.030,0.27,2.61
0.001,0.65,2.87
0.110,0.02,2.20
0.050,0.74,3.89
0.070,0.19,2.63
0.040,0.52,3.43
0.120,0.28,3.15
0.080,0.38,3.41
0.020,0.06,1.95
0.090,0.61,3.86
0.030,0.28,2.61
0.001,0.66,2.87
0.050,0.75,4.12
0.020,0.07,2.08
0.110,0.03,2.20
0.070,0.20,2.64
0.120,0.29,3.16
0.040,0.53,3.45
0.080,0.39,3.41
0.030,0.29,2.62
0.050,0.76,4.12
0.090,0.62,3.89
0.001,0.67,2.92
0.020,0.08,2.07
0.110,0.04,2.20
0.070,0.21,2.67
0.120,0.30,3.16
0.040,0.54,3.51
0.080,0.40,3.42
0.090,0.63,3.89
0.030,0.30,2.62
0.020,0.09,2.07
0.001,0.68,2.92
0.110,0.05,2.19
0.050,0.77,4.12
0.070,0.22,2.69
0.040,0.55,3.52
0.080,0.41,3.42
0.120,0.31,3.19
0.090,0.64,3.91
0.020,0.10,2.08
0.001,0.69,2.92
0.030,0.31,2.63
0.110,0.06,2.20
0.040,0.56,3.52
0.050,0.78,4.13
0.080,0.42,3.43
0.070,0.23,2.70
0.090,0.65,3.91
0.120,0.32,3.22
0.020,0.11,2.08
0.030,0.32,2.64
0.001,0.70,2.92
0.050,0.79,4.13
0.110,0.07,2.22
0.040,0.57,3.53
0.080,0.43,3.46
0.070,0.24,2.75
0.120,0.33,3.22
0.090,0.66,4.13
0.001,0.71,2.92
0.030,0.33,2.65
0.050,0.80,4.13
0.020,0.12,2.08
0.070,0.25,2.76
0.080,0.44,3.48
0.110,0.08,2.23
0.040,0.58,3.56
0.120,0.34,3.41
0.090,0.67,4.14
0.001,0.72,2.92
0.020,0.13,2.09
0.060,0.00,1.92
0.030,0.34,2.68
0.040,0.59,3.76
0.070,0.26,2.77
0.080,0.45,3.52
0.110,0.09,2.31
0.090,0.68,4.14
0.120,0.35,3.42
0.001,0.73,2.93
0.020,0.14,2.10
0.070,0.27,2.77
0.040,0.60,3.57
0.060,0.01,1.96
0.030,0.35,2.75
0.090,0.69,4.15
0.110,0.10,2.31
0.080,0.46,3.52
0.070,0.28,2.80
0.120,0.36,3.42
0.001,0.74,2.93
0.020,0.15,2.10
0.080,0.47,3.53
0.060,0.02,2.13
0.040,0.61,3.77
0.030,0.36,2.77
0.090,0.70,4.15
0.110,0.11,2.32
0.070,0.29,3.03
0.120,0.37,3.43
0.001,0.75,2.92
0.020,0.16,2.10
0.080,0.48,3.55
0.040,0.62,3.77
0.060,0.03,2.16
0.070,0.30,3.05
0.030,0.37,2.77
0.090,0.71,4.15
0.110,0.12,2.33
0.120,0.38,3.45
0.001,0.76,2.93
0.020,0.17,2.11
0.080,0.49,3.58
0.030,0.38,2.81
0.040,0.63,3.77
0.060,0.04,2.16
0.090,0.72,4.15
0.070,0.31,3.08
0.110,0.13,2.60
0.001,0.77,2.93
0.120,0.39,3.45
0.090,0.73,4.16
0.080,0.50,3.58
0.020,0.18,2.13
0.030,0.39,3.02
0.070,0.32,3.09
0.040,0.64,3.77
0.060,0.05,2.15
0.110,0.14,2.62
0.001,0.78,2.93
0.080,0.51,3.78
0.090,0.74,4.16
0.120,0.40,3.48
0.030,0.40,3.03
0.060,0.06,2.15
0.020,0.19,2.14
0.040,0.65,3.78
0.070,0.33,3.14
0.110,0.15,2.63
0.090,0.75,4.16
0.080,0.52,3.78
0.120,0.41,3.53
0.001,0.79,2.93
0.060,0.07,2.15
0.030,0.41,3.03
0.040,0.66,3.78
0.020,0.20,2.14
0.090,0.76,4.17
0.110,0.16,2.65
0.070,0.34,3.14
0.060,0.08,2.16
0.001,0.80,3.25
0.080,0.53,3.78
0.120,0.42,3.53
0.090,0.77,4.17
0.020,0.21,2.16
0.030,0.42,3.05
0.040,0.67,3.78
0.010,0.00,1.60
0.060,0.09,2.15
0.110,0.17,2.68
0.070,0.35,3.15
0.080,0.54,3.78
0.090,0.78,4.17
0.120,0.43,3.53
0.030,0.43,3.07
0.040,0.68,3.79
0.020,0.22,2.17
0.010,0.01,1.61
0.070,0.36,3.17
0.060,0.10,2.17
0.110,0.18,2.70
0.080,0.55,3.79
0.090,0.79,4.19
0.030,0.44,3.13
0.120,0.44,3.55
0.020,0.23,2.17
0.040,0.69,3.79
0.110,0.19,2.71
0.010,0.02,1.62
0.090,0.80,4.19
0.070,0.37,3.18
0.060,0.11,2.20
0.080,0.56,3.80
0.020,0.24,2.20
0.040,0.70,3.80
0.120,0.45,3.56
0.030,0.45,3.15
0.110,0.20,2.76
0.010,0.03,1.65
0.020,0.25,2.21
0.100,0.00,1.98
0.080,0.57,3.80
0.070,0.38,3.22
0.060,0.12,2.21
0.030,0.46,3.16
0.110,0.21,2.77
0.120,0.46,3.78
0.040,0.71,3.80
0.010,0.04,1.69
0.020,0.26,2.25
0.060,0.13,2.21
0.100,0.01,2.15
0.030,0.47,3.16
0.040,0.72,3.85
0.080,0.58,3.80
0.070,0.39,3.40
0.120,0.47,3.78
0.110,0.22,2.78
0.020,0.27,2.25
0.030,0.48,3.17
0.060,0.14,2.22
0.010,0.05,1.72
0.100,0.02,2.19
0.040,0.73,3.85
0.070,0.40,3.41
0.110,0.23,2.81
0.080,0.59,3.83
0.120,0.48,3.79
0.020,0.28,2.33
0.100,0.03,2.19
0.070,0.41,3.41
0.060,0.15,2.30
0.110,0.24,3.03
0.030,0.49,3.40
0.010,0.06,1.78
0.120,0.49,3.79
0.040,0.74,3.88
0.020,0.29,2.34
0.080,0.60,3.83
0.100,0.04,2.19
0.040,0.75,3.86
0.060,0.16,2.30
0.110,0.25,3.04
0.120,0.50,3.79
0.030,0.50,3.40
0.020,0.30,2.60
0.070,0.42,3.42
0.010,0.07,1.87
0.080,0.61,3.86
0.100,0.05,2.20
0.060,0.17,2.60
0.120,0.51,3.80
0.030,0.51,3.40
0.110,0.26,3.06
0.040,0.76,3.86
0.080,0.62,3.89
0.020,0.31,2.60
0.070,0.43,3.43
0.010,0.08,1.88
0.060,0.18,2.60
0.120,0.52,3.80
0.110,0.27,3.09
0.100,0.06,2.20
0.030,0.52,3.41
0.080,0.63,3.89
0.020,0.32,2.61
0.070,0.44,3.43
0.040,0.77,3.88
0.010,0.09,1.90
0.060,0.19,2.61
0.120,0.53,3.81
0.110,0.28,3.11
0.030,0.53,3.40
0.080,0.64,3.89
0.100,0.07,2.22
0.010,0.10,1.94
0.020,0.33,2.61
0.040,0.78,3.89
0.070,0.45,3.46
0.100,0.08,2.23
0.120,0.54,3.83
0.110,0.29,3.15
0.060,0.20,2.62
0.020,0.34,2.61
0.040,0.79,4.11
0.010,0.11,1.95
0.030,0.54,3.41
0.080,0.65,3.89
0.070,0.46,3.51
0.100,0.09,2.23
0.120,0.55,3.83
0.110,0.30,3.15
0.040,0.80,4.12
0.060,0.21,2.63
0.020,0.35,2.62
0.010,0.12,1.96
0.080,0.66,3.89
0.030,0.55,3.41
0.070,0.47,3.52
0.100,0.10,2.30
0.050,0.00,1.90
0.120,0.56,3.84
0.110,0.31,3.16
0.060,0.22,2.65
0.080,0.67,3.91
0.020,0.36,2.62
0.010,0.13,2.08
0.100,0.11,2.31
0.050,0.01,1.92
0.030,0.56,3.42
0.070,0.48,3.52
0.080,0.68,4.13
0.060,0.23,2.66
0.110,0.32,3.18
0.120,0.57,3.85
0.020,0.37,2.63
0.100,0.12,2.32
0.050,0.02,1.99
0.070,0.49,3.55
0.010,0.14,2.08
0.030,0.57,3.45
0.060,0.24,2.68
0.120,0.58,3.89
0.020,0.38,2.63
0.080,0.69,4.14
0.110,0.33,3.22
0.070,0.50,3.57
0.100,0.13,2.60
0.120,0.59,3.89
